Áfríkà	Africa
9623 Karlsson	9623 Karlsson
9111 Matarazzo	9111 Matarazzo
9956 Castellaz	9956 Castellaz
9761 Krautter	9761 Krautter
9070 Ensab	9070 Ensab
9307 Regiomontanus	9307 Regiomontanus
9052 Uhland	9052 Uhland
9038 Helensteel	9038 Helensteel
9073 Yoshinori	9073 Yoshinori
9028 Konrádbeneš	9028 Konrádbeneš
9096 Tamotsu	9096 Tamotsu
9087 Neff	9087 Neff
9121 Stefanovalentini	9121 Stefanovalentini
9064 Johndavies	9064 Johndavies
9100 Tomohisa	9100 Tomohisa
9063 Washi	9063 Washi
9074 Yosukeyoshida	9074 Yosukeyoshida
Ìdíje Wimbledon 1984 − Àwọn Obìnrin Ẹnìkan	1984 Wimbledon Championships – Women's Singles
Ìdíje Wimbledon 1990 − Àwọn Obìnrin Ẹnìkan	1990 Wimbledon Championships – Women's Singles
Ìdíje Wimbledon 1974 − Àwọn Obìnrin Ẹnìkan	1974 Wimbledon Championships – Women's Singles
Ìdíje Wimbledon 1979 − Àwọn Obìnrin Ẹnìkan	1979 Wimbledon Championships – Women's Singles
Ìdíje Wimbledon 1977 − Àwọn Obìnrin Ẹnìkan	1977 Wimbledon Championships – Women's Singles
Ìdíje Wimbledon 1982 − Àwọn Obìnrin Ẹnìkan	1982 Wimbledon Championships – Women's Singles
5505 Rundetaarn	5505 Rundetaarn
5914 Kathywhaler	5914 Kathywhaler
9044 Kaoru	9044 Kaoru
8021 Walter	8021 Walter
9076 Shinsaku	9076 Shinsaku
5420 Jancis	5420 Jancis
5386 Bajaja	5386 Bajaja
9094 Butsuen	9094 Butsuen
18235 Lynden-Bell	18235 Lynden-Bell
10146 Mukaitadashi	10146 Mukaitadashi
10159 Tokara	10159 Tokara
5342 Le Poole	5342 Le Poole
6013 Andanike	6013 Andanike
18238 Frankshu	18238 Frankshu
20440 McClintock	20440 McClintock
5289 Niemela	5289 Niemela
5328 Nisiyamakoiti	5328 Nisiyamakoiti
5917 Chibasai	5917 Chibasai
5929 Manzano	5929 Manzano
5548 Thosharriot	5548 Thosharriot
5741 Akanemaruta	5741 Akanemaruta
10213 Koukolík	10213 Koukolík
9022 Drake	9022 Drake
8142 Zolotov	8142 Zolotov
8131 Scanlon	8131 Scanlon
5758 Brunini	5758 Brunini
8527 Katayama	8527 Katayama
8529 Sinzi	8529 Sinzi
5793 Ringuelet	5793 Ringuelet
5397 Vojislava	5397 Vojislava
6014 Chribrenmark	6014 Chribrenmark
8817 Roytraver	8817 Roytraver
5730 Yonosuke	5730 Yonosuke
8204 Takabatake	8204 Takabatake
8806 Fetisov	8806 Fetisov
8712 Suzuko	8712 Suzuko
8545 McGee	8545 McGee
8451 Gaidai	8451 Gaidai
8246 Kotov	8246 Kotov
8262 Carcich	8262 Carcich
8322 Kononovich	8322 Kononovich
5784 Yoron	5784 Yoron
8202 Gooley	8202 Gooley
8501 Wachholz	8501 Wachholz
8804 Eliason	8804 Eliason
8449 Maslovets	8449 Maslovets
8249 Gershwin	8249 Gershwin
21708 Mulhall	21708 Mulhall
20289 Nettimi	20289 Nettimi
10029 Hiramperkins	10029 Hiramperkins
10934 Pauldelvaux	10934 Pauldelvaux
9930 Billburrows	9930 Billburrows
10070 Liuzongli	10070 Liuzongli
9687 Uhlenbeck	9687 Uhlenbeck
9677 Gowlandhopkins	9677 Gowlandhopkins
9693 Bleeker	9693 Bleeker
10947 Kaiserstuhl	10947 Kaiserstuhl
8640 Ritaschulz	8640 Ritaschulz
9560 Anguita	9560 Anguita
9912 Donizetti	9912 Donizetti
11056 Volland	11056 Volland
11870 Sverige	11870 Sverige
12984 Lowry	12984 Lowry
10027 Perozzi	10027 Perozzi
10049 Vorovich	10049 Vorovich
8079 Bernardlovell	8079 Bernardlovell
10022 Zubov	10022 Zubov
10023 Vladifedorov	10023 Vladifedorov
10021 Henja	10021 Henja
9695 Johnheise	9695 Johnheise
9544 Scottbirney	9544 Scottbirney
9826 Ehrenfreund	9826 Ehrenfreund
8474 Rettig	8474 Rettig
9295 Donaldyoung	9295 Donaldyoung
8872 Ebenum	8872 Ebenum
8526 Takeuchiyukou	8526 Takeuchiyukou
8535 Pellesvanslös	8535 Pellesvanslös
7456 Doressoundiram	7456 Doressoundiram
9819 Sangerhausen	9819 Sangerhausen
9913 Humperdinck	9913 Humperdinck
9696 Jaffe	9696 Jaffe
9685 Korteweg	9685 Korteweg
8248 Gurzuf	8248 Gurzuf
8074 Slade	8074 Slade
8826 Corneville	8826 Corneville
9698 Idzerda	9698 Idzerda
8326 Paulkling	8326 Paulkling
9689 Freudenthal	9689 Freudenthal
7137 Ageo	7137 Ageo
9308 Randyrose	9308 Randyrose
9682 Gravesande	9682 Gravesande
9701 Mak	9701 Mak
9159 McDonnell	9159 McDonnell
8250 Cornell	8250 Cornell
9248 Sauer	9248 Sauer
9691 Zwaan	9691 Zwaan
9497 Dwingeloo	9497 Dwingeloo
9473 Ghent	9473 Ghent
8071 Simonelli	8071 Simonelli
9393 Apta	9393 Apta
9480 Inti	9480 Inti
8601 Ciconia	8601 Ciconia
9071 Coudenberghe	9071 Coudenberghe
8169 Mirabeau	8169 Mirabeau
9137 Remo	9137 Remo
11427 Willemkolff	11427 Willemkolff
9489 Tanemahuta	9489 Tanemahuta
8154 Stahl	8154 Stahl
13070 Seanconnery	13070 Seanconnery
12896 Geoffroy	12896 Geoffroy
10184 Galvani	10184 Galvani
10120 Ypres	10120 Ypres
Ìtàn ilẹ̀ Guinea	History of Guinea
12895 Balbastre	12895 Balbastre
20991 Jánkollár	20991 Jánkollár
4641 Ayako	4641 Ayako
8010 Böhnhardt	8010 Böhnhardt
9481 Menchú	9481 Menchú
9484 Wanambi	9484 Wanambi
9140 Deni	9140 Deni
9778 Isabelallende	9778 Isabelallende
9255 Inoutadataka	9255 Inoutadataka
8776 Campestris	8776 Campestris
8591 Excubitor	8591 Excubitor
9640 Lippens	9640 Lippens
9757 Felixdejager	9757 Felixdejager
8965 Citrinella	8965 Citrinella
9139 Barrylasker	9139 Barrylasker
8039 Grandprism	8039 Grandprism
9341 Gracekelly	9341 Gracekelly
8443 Svecica	8443 Svecica
ISO 3166-2:CS	ISO 3166-2:CS
8777 Torquata	8777 Torquata
8665 Daun-Eifel	8665 Daun-Eifel
8833 Acer	8833 Acer
9508 Titurel	9508 Titurel
9511 Klingsor	9511 Klingsor
9364 Clusius	9364 Clusius
8755 Querquedula	8755 Querquedula
9589 Deridder	9589 Deridder
9242 Olea	9242 Olea
9452 Rogerpeeters	9452 Rogerpeeters
8489 Boulder	8489 Boulder
12701 Chénier	12701 Chénier
10030 Philkeenan	10030 Philkeenan
10044 Squyres	10044 Squyres
8756 Mollissima	8756 Mollissima
9383 Montélimar	9383 Montélimar
8643 Quercus	8643 Quercus
9251 Harch	9251 Harch
8648 Salix	8648 Salix
8488 d'Argens	8488 d'Argens
9306 Pittosporum	9306 Pittosporum
9381 Lyon	9381 Lyon
8770 Totanus	8770 Totanus
9327 Duerbeck	9327 Duerbeck
8772 Minutus	8772 Minutus
8763 Pugnax	8763 Pugnax
Orin-ìyìn Orílẹ̀-èdè Karelia	Anthem of the Republic of Karelia
13122 Drava	13122 Drava
10263 Vadimsimona	10263 Vadimsimona
9795 Deprez	9795 Deprez
9663 Zwin	9663 Zwin
8765 Limosa	8765 Limosa
8599 Riparia	8599 Riparia
9504 Lionel	9504 Lionel
9614 Cuvier	9614 Cuvier
8589 Stellaris	8589 Stellaris
9702 Tomvandijk	9702 Tomvandijk
9141 Kapur	9141 Kapur
9184 Vasilij	9184 Vasilij
8773 Torquilla	8773 Torquilla
9161 Beaufort	9161 Beaufort
9259 Janvanparadijs	9259 Janvanparadijs
Àmì ọ̀pá àṣẹ ilẹ̀ Karelia	Coat of arms of the Republic of Karelia
9707 Petruskoning	9707 Petruskoning
8754 Leucorodia	8754 Leucorodia
9250 Chamberlin	9250 Chamberlin
8676 Lully	8676 Lully
8441 Lapponica	8441 Lapponica
8587 Ruficollis	8587 Ruficollis
8437 Bernicla	8437 Bernicla
9709 Chrisnell	9709 Chrisnell
9356 Elineke	9356 Elineke
8440 Wigeon	8440 Wigeon
9019 Eucommia	9019 Eucommia
8766 Niger	8766 Niger
9664 Brueghel	9664 Brueghel
8491 Joelle-gilles	8491 Joelle-gilles
9708 Gouka	9708 Gouka
8586 Epops	8586 Epops
9509 Amfortas	9509 Amfortas
(4858) 1985 UA	4858 Vorobjov
ISO/IEC 7810	ISO/IEC 7810
(4759) 1978 VG10	4759 Åretta
Orin-ìyìn Orílẹ̀-èdè Udmurtia	National Anthem of the Udmurt Republic
21517 Dobi	21517 Dobi
Os Pinos	Os Pinos
5475 Hanskennedy	5475 Hanskennedy
MPEG transport stream	MPEG transport stream
ISO 3166-2:PM	ISO 3166-2:PM
ISO 3166-2:TF	ISO 3166-2:TF
ISO 3166-2:MQ	ISO 3166-2:MQ
ISO 3166-2:PF	ISO 3166-2:PF
ISO 3166-2:SB	ISO 3166-2:SB
ISO 3166-2:GP	ISO 3166-2:GP
ISO 3166-2:RE	ISO 3166-2:RE
ISO 3166-2:JE	ISO 3166-2:JE
ISO 3166-2:YT	ISO 3166-2:YT
ISO 3166-2:MF	ISO 3166-2:MF
ISO 3166-2:WF	ISO 3166-2:WF
ISO 3166-2:NC	ISO 3166-2:NC
Àwọn ará Kúbà	Cubans
7623 Stamitz	7623 Stamitz
8124 Guardi	8124 Guardi
8058 Zuckmayer	8058 Zuckmayer
8434 Columbianus	8434 Columbianus
8974 Gregaria	8974 Gregaria
8975 Atthis	8975 Atthis
8980 Heliaca	8980 Heliaca
8973 Pratincola	8973 Pratincola
7608 Telegramia	7608 Telegramia
8968 Europaeus	8968 Europaeus
8316 Wolkenstein	8316 Wolkenstein
8979 Clanga	8979 Clanga
8054 Brentano	8054 Brentano
Le Chant des Wallons	Le Chant des Wallons
Resource Interchange File Format	Resource Interchange File Format
ISO 15504	ISO/IEC 15504
José María Iglesias	José María Iglesias
ISO/IEC 2022	ISO/IEC 2022
Wikipedia:Embassy	Wikipedia:Embassy
Orin-ìyìn orílẹ̀-èdè ilẹ̀ Tatarstan	State Anthem of the Republic of Tatarstan
José Justo Corro	José Justo Corro
68719 Jangyeongsil	68719 Jangyeongsil
106817 Yubangtaek	106817 Yubangtaek
Miguel Barragán	Miguel Barragán
63156 Yicheon	63156 Yicheon
63145 Choemuseon	63145 Choemuseon
34666 Bohyunsan	34666 Bohyunsan
99503 Leewonchul	99503 Leewonchul
Gabriel Valencia	Gabriel Valencia
ISO 3166-2:GG	ISO 3166-2:GG
ISO 3166-2:HK	ISO 3166-2:HK
ISO 3166-2:AN	ISO 3166-2:AN
ISO 3166-2:MP	ISO 3166-2:MP
ISO 3166-2:IM	ISO 3166-2:IM
ISO 3166-2:GF	ISO 3166-2:GF
Virgin Islands March	Virgin Islands March
Àmì ọ̀pá àṣẹ ilẹ̀ Crimea	Coat of arms of Crimea
Hino da Região Autónoma da Madeira	Hino da Região Autónoma da Madeira
Àwọn Ìpínlẹ̀ Jẹ́mánì	States of Germany
Digidesign	Avid Audio
Dimeji Bankole	Dimeji Bankole
Orin-ìyìn Orílẹ̀-èdè Àjọṣepọ̀ Rọ́sìà	National Anthem of Russia
Dimitrios Maximos	Dimitrios Maximos
Dimitrios Partsalidis	Dimitrios Partsalidis
Dimitrios Valvis	Dimitrios Valvis
Paul Kagame	Paul Kagame
Dmitry Sanakoyev	Dmitry Sanakoyev
Standard pipe thread Brítánì	British Standard Pipe
ISO 3166-2:GI	ISO 3166-2:GI
ISO/IEC 10179	Document Style Semantics and Specification Language
Tiv	Tiv people
Donald M. Payne	Donald M. Payne
Donald Sangster	Donald Sangster
QuickTime	QuickTime
Federico de Roncali, 1st Count of Alcoy	Federico de Roncali, 1st Count of Alcoy
Gennaios Kolokotronis	Gennaios Kolokotronis
Georgios Kafantaris	Georgios Kafantaris
Sotirios Krokidas	Sotirios Krokidas
Sotirios Sotiropoulos	Sotirios Sotiropoulos
Marcelo Azcárraga Palmero	Marcelo Azcárraga Palmero
Nọ́mbà oníìpín	Rational number
ISO 3166-2:OM	ISO 3166-2:OM
(7864) 1982 EE	(7864) 1982 EE
Àmì ọ̀pá àṣẹ ilẹ̀ Hawaii	Seal of Hawaii
O le Ao o le Malo	O le Ao o le Malo
Petros Voulgaris	Petros Voulgaris
ISO 3166-2:ZA	ISO 3166-2:ZA
Christian Frémont	Christian Frémont
Nemesi Marquès Oste	Nemesi Marqués Oste
Salim Ahmed Salim	Salim Ahmed Salim
ISO 27799	ISO 27799
Michael Ansara	Michael Ansara
Oron, Nàìjíríà	Oron, Nigeria
33330 Barèges	33330 Barèges
Hugues-Bernard Maret, duc de Bassano	Hugues-Bernard Maret, duc de Bassano
100019 Gregorianik	100019 Gregorianik
ISO/IEC 18000	ISO/IEC 18000
Àmì ọ̀pá àṣẹ ilẹ̀ Guadeloupe	Coat of arms of Guadeloupe
Ẹdẹ	Ede, Nigeria
G.726	G.726
Ẹ̀wádún 60	60s
Ẹ̀wádún 50	50s
Ẹ̀wádún 40	40s
Ẹ̀wádún 30	30s
Ọmọ Ẹdó	Edo people
Édouard Frank	Édouard Frank
Jim Clyburn	Jim Clyburn
Harold Ford, Jr.	Harold Ford, Jr.
Edward Sokoine	Edward Sokoine
Narciso Fernández de Heredia, 2nd Count of Heredia-Spínola	Narciso Fernández de Heredia, 2nd Count of Heredia-Spínola
Ẹfọ̀n-Alààyè	Effon-Alaiye
100122 Alpes Maritimes	100122 Alpes Maritimes
12272 Geddylee	12272 Geddylee
29457 Marcopolo	29457 Marcopolo
100416 Syang	100416 Syang
100417 Philipglass	100417 Philipglass
7890 Yasuofukui	7890 Yasuofukui
7891 Fuchie	7891 Fuchie
7892 Musamurahigashi	7892 Musamurahigashi
7894 Rogers	7894 Rogers
7896 Švejk	7896 Švejk
(7915) 1979 MA6	(7915) 1979 MA6
(7917) 1981 EG5	(7917) 1981 EG5
(7918) 1981 EJ22	(7918) 1981 EJ22
7919 Prime	7919 Prime
7928 Bijaoui	7928 Bijaoui
(7930) 1987 VD	(7930) 1987 VD
7936 Mikemagee	7936 Mikemagee
7939 Asphaug	7939 Asphaug
7940 Erichmeyer	7940 Erichmeyer
Tim Conway	Tim Conway
7947 Toland	7947 Toland
(7916) 1981 EN	(7916) 1981 EN
James E. O'Hara	James E. O'Hara
7954 Kitao	7954 Kitao
7955 Ogiwara	7955 Ogiwara
7957 Antonella	7957 Antonella
7958 Leakey	7958 Leakey
7959 Alysecherri	7959 Alysecherri
7963 Falcinelli	7963 Falcinelli
7976 Pinigin	7976 Pinigin
(7982) 1979 MX5	(7982) 1979 MX5
(7984) 1980 SM	(7984) 1980 SM
(7990) 1981 SN1	(7990) 1981 SN1
7991 Kaguyahime	7991 Kaguyahime
7992 Yozan	7992 Yozan
(7993) 1982 UD2	(7993) 1982 UD2
7998 Gonczi	7998 Gonczi
7980 Senkevich	7980 Senkevich
(8004) 1987 RX	(8004) 1987 RX
RELAX NG	RELAX NG
8087 Kazutaka	8087 Kazutaka
QuickTime VR	QuickTime VR
José María Obando	José María Obando
(8325) 1981 EM26	(8325) 1981 EM26
(180103) 2003 FX6	(180103) 2003 FX6
(16553) 1991 TL14	(16553) 1991 TL14
(21083) 1991 TH14	(21083) 1991 TH14
(39544) 1991 TN14	(39544) 1991 TN14
(183501) 2003 FU4	(183501) 2003 FU4
(115485) 2003 UR19	(115485) 2003 UR19
(211480) 2003 FC7	(211480) 2003 FC7
(225270) 2009 SF30	(225270) 2009 SF30
(177065) 2003 FP7	(177065) 2003 FP7
(49999) 2000 AW14	(49999) 2000 AW14
(58295) 1994 JJ9	(58295) 1994 JJ9
ISO 13216	Isofix
ISO 3029	126 film
Àmì ọ̀pá àṣẹ ilẹ̀ Saint Pierre àti Mìkẹ́lọ̀n	Coat of arms of Saint Pierre and Miquelon
Èdè Ijọ	Ijaw languages
ISO 14000	ISO 14000
Ìtàn ilẹ̀ Orílẹ̀-èdè Olómìnira Àrin Áfríkà	History of the Central African Republic
Ijọidi	Ijoid languages
ISO 3166-2:AZ	ISO 3166-2:AZ
Àtòjọ àwọn àjọ̀dún	List of historical anniversaries
Uzodinma Iweala	Uzodinma Iweala
Tooruktug Dolgay Tangdym	Tooruktug Dolgay Tangdym
8212 Naoshigetani	8212 Naoshigetani
8214 Mirellalilli	8214 Mirellalilli
8216 Melosh	8216 Melosh
8218 Hosty	8218 Hosty
8225 Emerson	8225 Emerson
8229 Kozelský	8229 Kozelský
8231 Tetsujiyamada	8231 Tetsujiyamada
8232 Akiramizuno	8232 Akiramizuno
8233 Asada	8233 Asada
8234 Nobeoka	8234 Nobeoka
8224 Fultonwright	8224 Fultonwright
Ellis Clarke	Ellis Clarke
(8258) 1982 RW1	(8258) 1982 RW1
(8259) 1983 UG	(8259) 1983 UG
8266 Bertelli	8266 Bertelli
William Schallert	William Schallert
8276 Shigei	8276 Shigei
8284 Cranach	8284 Cranach
8286 Kouji	8286 Kouji
8300 Iga	8300 Iga
8301 Haseyuji	8301 Haseyuji
8304 Ryomichico	8304 Ryomichico
8305 Teika	8305 Teika
8306 Shoko	8306 Shoko
8307 Peltan	8307 Peltan
8320 van Zee	8320 van Zee
Emanuel Cleaver	Emanuel Cleaver
(8333) 1982 VF	(8333) 1982 VF
8336 Šafařík	8336 Šafařík
8338 Ralhan	8338 Ralhan
8339 Kosovichia	8339 Kosovichia
8343 Tugendhat	8343 Tugendhat
8344 Babette	8344 Babette
(8346) 1987 DW6	(8346) 1987 DW6
8347 Lallaward	8347 Lallaward
8348 Bhattacharyya	8348 Bhattacharyya
8357 O'Connor	8357 O'Connor
8358 Rickblakley	8358 Rickblakley
Emin Fahrettin Özdilek	Fahrettin Özdilek
Agbègbè Ìjọba Ìbílẹ̀ Gwandu	Gwandu
8371 Goven	8371 Goven
8374 Horohata	8374 Horohata
8375 Kenzokohno	8375 Kenzokohno
8377 Elmerreese	8377 Elmerreese
8379 Straczynski	8379 Straczynski
8397 Chiakitanaka	8397 Chiakitanaka
8398 Rubbia	8398 Rubbia
8399 Wakamatsu	8399 Wakamatsu
8400 Tomizo	8400 Tomizo
Sùúrù	Fonio
ISO 3166-2:SK	ISO 3166-2:SK
Ìtàn ilẹ̀ Bùrkínà Fasò	History of Burkina Faso
STS-76	STS-76
G.722.1	G.722.1
ISO 3166-2:GA	ISO 3166-2:GA
Jẹ́ọ́gráfì ilẹ̀ Sòmálíà	Geography of Somalia
ISO/IEC 9995	ISO/IEC 9995
Multibus	Multibus
Ìtàn ilẹ̀ Mọ́rísì	History of Mauritius
Slam Dunk Contest	Slam Dunk Contest
STS-86	STS-86
ISO 3166-2:PL	ISO 3166-2:PL
ISO 3166-2:BD	ISO 3166-2:BD
STS-96	STS-96
OpenEXR	OpenEXR
ISO 3166-1 alpha-3	ISO 3166-1 alpha-3
29552 Chern	29552 Chern
12252 Gwangju	12252 Gwangju
Ìtàn ilẹ̀ Tànsáníà	History of Tanzania
Erdal İnönü	Erdal İnönü
ISO 3166-2:IR	ISO 3166-2:IR
ISO 3166-2:TJ	ISO 3166-2:TJ
George Henry White	George Henry White
Fela Sowande	Fela Sowande
Eusebio Bardají y Azara	Eusebio Bardají y Azara
Ma Normandie	Ma Normandie
Agnes Monica	Agnez Mo
MPEG program stream	MPEG program stream
ISO 3166-2:CY	ISO 3166-2:CY
STS-78	STS-78
ISO 3166-2:ID	ISO 3166-2:ID
ISO 3166-2:CN	ISO 3166-2:CN
Àmì ọ̀pá àṣẹ ilẹ̀ àwọn Erékùṣù Cook	Coat of arms of the Cook Islands
Èṣù	Eshu
ISO 3166-2:IE	ISO 3166-2:IE
ISO 3166-2:CV	ISO 3166-2:CV
ISO 3166-2:BI	ISO 3166-2:BI
ISO 3166-2:PA	ISO 3166-2:PA
ISO 3166-2:IO	ISO 3166-2:IO
ISO 3166-2:VG	ISO 3166-2:VG
72021 Yisunji	72021 Yisunji
Orin-ìyìn orílẹ̀-èdè Crimea	Hymn of Crimea
ISO 3166-2:VA	ISO 3166-2:VA
Domingo Caycedo	Domingo Caycedo
7484 Dogo Onsen	7484 Dogo Onsen
ISO 3166-2:MC	ISO 3166-2:MC
72059 Heojun	72059 Heojun
Mokdad Sifi	Mokdad Sifi
Reino Ragnar Lehto	Reino Ragnar Lehto
Konstantinos Kollias	Konstantinos Kollias
John Conyers	John Conyers
Komlavi Loglo	Komlavi Loglo
Urho Castrén	Urho Castrén
Paulin Obame-Nguema	Paulin Obame-Nguema
John William, Baron Ripperda	John William, Baron Ripperda
Tony Allen (musician)	Tony Allen (musician)
Georgios Athanasiadis-Novas	Georgios Athanasiadis-Novas
José María Calatrava y Peinado	José María Calatrava y Peinado
Smail Hamdani	Smail Hamdani
Stephen Keshi	Stephen Keshi
Helon Habila	Helon Habila
Fidèle Moungar	Fidèle Moungar
Léon Mébiame	Léon Mébiame
Ilias Tsirimokos	Ilias Tsirimokos
Ioannis Theotokis	Ioannis Theotokis
Nagoum Yamassoum	Nagoum Yamassoum
Louis, comte Molé	Louis-Mathieu Molé
Mouloud Hamrouche	Mouloud Hamrouche
Howard Cooke	Howard Cooke
Haroun Kabadi	Haroun Kabadi
Ioannis Paraskevopoulos	Ioannis Paraskevopoulos
Panagiotis Pipinelis	Panagiotis Pipinelis
Thawal Thamrong Navaswadhi	Thawan Thamrongnawasawat
Progressive Graphics File	Progressive Graphics File
Orin-ìyìn Orílẹ̀-èdè Bashkortostan	State Anthem of the Republic of Bashkortostan
The Song of the Western Men	The Song of the Western Men
José María Queipo de Llano, 7th Count of Toreno	José María Queipo de Llano, 7th Count of Toreno
Joaquín María López y López	Joaquín María López y López
ISO 3166-2:TK	ISO 3166-2:TK
Petit-Prince (moon)	Petit-Prince (moon)
23880 Tongil	23880 Tongil
European Committee for the Prevention of Torture	Committee for the Prevention of Torture
Sarnia Cherie	Sarnia Cherie
Eric Williams	George Chambers
Evaristo Pérez de Castro y Brito	Evaristo Pérez de Castro y Brito
Simon Narcisse Bozanga	Simon Narcisse Bozanga
Joseph Rainey	Joseph Rainey
Panagiotis Poulitsas	Panagiotis Poulitsas
Nurul Amin	Nurul Amin
Mohammed Karim Lamrani	Mohammed Karim Lamrani
Maati Bouabid	Maati Bouabid
Seydou Diarra	Seydou Diarra
15620 Beltrami	15620 Beltrami
Hussein Farrah Aidid	Hussein Farrah Aidid
Néstor Guillén	Néstor Guillén
Norman Manley	Norman Manley
Joaquín Francisco Pacheco y Gutiérrez-Calderón	Joaquín Francisco Pacheco y Gutiérrez-Calderón
Rashidi Kawawa	Rashidi Kawawa
Lorenzo Arrazola y García	Lorenzo Arrazola y García
Paul Moukila	Paul Moukila
Noor Hassanali	Noor Hassanali
Keijo Liinamaa	Keijo Liinamaa
Sadi Irmak	Sadi Irmak
Jean Alingué Bawoyeu	Jean Alingué Bawoyeu
Lopo do Nascimento	Lopo do Nascimento
Mike Espy	Mike Espy
Ferit Melen	Ferit Melen
ISO/IEC 8859-6	ISO/IEC 8859-6
Linus (òṣùpá)	Linus (moon)
12225 Yanfernández	12225 Yanfernández
Fernando Fernández de Córdova, 2nd Marquis of Mendigorría	Fernando Fernández de Córdova, 2nd Marquis of Mendigorría
Mande	Mandé peoples
11602 Miryang	11602 Miryang
11706 Rijeka	11706 Rijeka
ISO 3166-2:SA	ISO 3166-2:SA
12005 Delgiudice	12005 Delgiudice
12123 Pazin	12123 Pazin
12366 Luisapla	12366 Luisapla
Ẹ̀ka:Jẹ́mánì	Category:Germany
Ẹ̀ka:Itálíà	Category:Italy
Ẹ̀ka:Orílẹ̀-èdè Amẹ́ríkà	Category:United States
Ẹ̀ka:Rọ́síà	Category:Russia
Ẹ̀ka:Kánádà	Category:Canada
Ẹ̀ka:Spéìn	Category:Spain
Ẹ̀ka:Ṣáínà	Category:China
Ẹ̀ka:Japan	Category:Japan
Ẹ̀ka:Austrálíà	Category:Australia
Ẹ̀ka:Mẹ́ksíkò	Category:Mexico
Ẹ̀ka:Índíà	Category:India
Ẹ̀ka:Sáúdí Arábíà	Category:Saudi Arabia
ISO/IEC 20000	ISO/IEC 20000
Ẹ̀ka:Vatican City	Category:Vatican City
Ẹ̀ka:Túrkì	Category:Turkey
Ẹ̀ka:Gúúsù Áfríkà	Category:South Africa
Ẹ̀ka:Ẹ́gíptì	Category:Egypt
Ẹ̀ka:Ìránì	Category:Iran
Ẹ̀ka:New Zealand	Category:New Zealand
Ẹ̀ka:Argẹntínà	Category:Argentina
Yunifásítì ìlú Jos	University of Jos
ISO 8571	FTAM
Ẹ̀wádún 0	0s
Nduka Odizor	Nduka Odizor
Ẹ̀wádún 20	20s
Ìtàn ilẹ̀ Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	History of the Republic of the Congo
Torx	Torx
Àmì ọ̀pá àṣẹ ilẹ̀ Réunion	Coat of arms of Réunion
Paul Dike	Paul Dike
Sámi soga lávlla	Sami national anthem
STS-87	STS-87
STS-70	STS-70
Ifá	Ifá
Àkójọ àwọn Alákòóso Àgbà ilẹ̀ Tànsáníà	List of Prime Ministers of Tanzania
STS-85	STS-85
Ìtàn ilẹ̀ Sámbíà	History of Zambia
STS-94	STS-94
MPEG-7	MPEG-7
National Basketball League	National Basketball League (United States)
Mọ́ṣáláṣí Oníbínibí Àbújá	Abuja National Mosque
Florizel Glasspole	Florizel Glasspole
ISO 3166-2:ER	ISO 3166-2:ER
ISO 3166-2:UG	ISO 3166-2:UG
ISO 3166-2:GQ	ISO 3166-2:GQ
ISO 3166-2:ET	ISO 3166-2:ET
ISO 3166-2:KM	ISO 3166-2:KM
ISO 3166-2:LV	ISO 3166-2:LV
ISO 3166-2:TM	ISO 3166-2:TM
ISO 3166-2:LS	ISO 3166-2:LS
ISO 3166-2:MA	ISO 3166-2:MA
ISO 3166-2:BF	ISO 3166-2:BF
ISO 3166-2:UZ	ISO 3166-2:UZ
ISO 3166-2:GW	ISO 3166-2:GW
ISO 3166-2:BH	ISO 3166-2:BH
ISO 3166-2:LA	ISO 3166-2:LA
ISO 3166-2:BN	ISO 3166-2:BN
ISO 3166-2:KG	ISO 3166-2:KG
Ìtàn ilẹ̀ Màláwì	History of Malawi
ISO/IEC 13568	Z notation
Pápá Ọkọ̀ Òfurufú Káríayé Port Harcourt	Port Harcourt International Airport
Àkójọ àwọn olórí ìjọba ilẹ̀ Bùrkínà Fasò	List of heads of government of Burkina Faso
Ìtàn ilẹ̀ Ẹritrẹ́à	History of Eritrea
Ìtàn ilẹ̀ Nàìjíríà	History of Nigeria
Ẹ̀wádún 1120	1120s
Ẹ̀wádún 680	680s
Francisco de Lersundi y Hormaechea	Francisco de Lersundi y Hormaechea
Frank Ballance	Frank Ballance
79271 Bellagio	79271 Bellagio
Háídrójìn onídẹ́útẹ́ríọ̀mù	Hydrogen deuteride
Jẹ́ọ́gráfì ilẹ̀ Ẹ́gíptì	Geography of Egypt
Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2028	2028 Summer Olympics
121232 Zerin	121232 Zerin
Fred Hampton	Fred Hampton
F. Nnabuenyi Ugonna	F. Nnabuenyi Ugonna
Ìdáláre	Acquittal
51824 Mikeanderson	51824 Mikeanderson
Ẹ̀ka:Afghanístàn	Category:Afghanistan
Ẹ̀ka:Àlgéríà	Category:Algeria
Ẹ̀ka:Austríà	Category:Austria
Ẹ̀ka:Bangladẹ́shì	Category:Bangladesh
Ẹ̀ka:Orílẹ̀-èdè Olómìnira Tòṣèlúaráìlú ilẹ̀ Kóngò	Category:Democratic Republic of the Congo
Ẹ̀ka:Kúbà	Category:Cuba
Ẹ̀ka:Ethiópíà	Category:Ethiopia
John Pepper Clark	J. P. Clark
Ẹ̀ka:Indonésíà	Category:Indonesia
