ܐܦܪܝܩܐ	Africa
Ψ	Psi (letter)
ܐܬܐ	Flag
ܟܪܦܬܐ	Furniture
ܟܘܪܣܝܐ	Chair
ܣܦܬܐ	Lip
ܦܣܡܐ	Moustache
ܥܩܠܐ	Foot
1000000000 (ܡܢܝܢܐ)	1,000,000,000
ܓܪܡܐ ܕܨܕܥܐ	Temporal bone
ܩܠܝܕܐ (ܓܪܡܐ)	Clavicle
ܟܬܦܐ	Shoulder
ܦܟܐ ܬܚܬܝܐ	Human mandible
ܥܠܡܐ (ܐܪܥܐ)	World
ܘܝܩܝܦܕܝܐ:ܬܪܥܐ ܕܟܢܫܐ	Wikipedia:Village pump
ܒܝܪܡܘܢܬ	Vermont
ܩܘܣܛܢܛܝܢܘܦܘܠܝܣ	Constantinople
ܒܝܬ ܟܪܝܗܐ	Hospital
ܥܕܬܐ	Church (building)
ܕܝܬܝܩܝ ܚܕܬܐ	New Testament
9 (ܡܢܝܢܐ)	9 (number)
1002	1002
ܦܘܕܘܠܣܟ	Podolsk
ܦܐܦܐ	Pope
5	5
4	4
ܢܝܒܐ	Canine tooth
3	3
2	2
ܒܝܬ ܥܬܩܐ ܕܠܘܒܪ	Louvre
ܓܒܐ ܕܚܐܪܘܬܐ ܕܦܘܐܪܛܘ ܪܝܩܘ	Puerto Rican Independence Party
6	6
ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Old Testament
ܥܐܕܐ ܕܒܝܬ ܝܠܕܐ	Christmas
ܠܫܢܐ ܪܘܡܐܢܣܝܐ	Romance languages
ܡܬܠܬܐ	Triangle
ܫܢܬܐ ܟܒܝܫܬܐ	Leap year
ܡܘܥܡܪ ܐܠܩܕܐܦܝ	Muammar Gaddafi
ܥܐܕܐ ܕܩܝܡܬܐ	Easter
ܢܝܘ ܝܘܪܩ	New York (disambiguation)
ܢܦܛܐ	Petroleum
ܣܐܘܢܐ	Shoe
ܒܝܬ ܥܘܪܦܢܐ	Bank
ܟܪܡܐ	Vineyard
ܐܝܪܠܢܕ (ܓܙܪܬܐ)	Ireland
1	1
ܠܘ ܫܘܢ	Lu Xun
10	10
20	20
9	9
7	7
8	8
7 (ܡܢܝܢܐ)	7 (number)
8 (ܡܢܝܢܐ)	8 (number)
12	12
ܡܠܐܐ ܘܬܘܒܐ	Tide
ܫܒܘܥܐ	Week
ܓܠܝܕܐ	Ice
ܨܠܘܬܐ ܡܪܢܝܬܐ	Lord's Prayer
ܝܡܬܐ	Lake
ܝܡܐ ܣܘܡܩܐ	Red Sea
13	13
ܩܛܘܬܐ (ܝܥܝܬܐ)	Cucumber
ܓܙܪܬܐ	Island
ܚܘܪܐ	White
ܐܘܟܡܐ	Black
6 (ܡܢܝܢܐ)	6 (number)
ܠܫܢܐ ܪܘܫܡܝܐ	Official language
11	11
15	15
14	14
17	17
ܣܦܪ ܡܠܐ	Dictionary
18	18
19	19
16	16
21	21
ܦܠܣܛܝܢ	Palestine
10 (ܡܢܝܢܐ)	10 (number)
ܡܣܘܪܩܐ (ܡܐܢܐ)	Comb
ܠܝܠܐ ܕܘܢܤ	Lila Downs
ܝܡܐ ܕܡܠܚܐ	Dead Sea
ܫܘܚܠܦܐ ܕܫܢܬܐ	Season
ܠܝܒܪܦܘܠ	Liverpool
ܩܘܦܬܐ (ܛܝܪܐ)	Owl
ܫܥܬܐ	Hour
ܢܐܘܝ ܕܘܪ ܟܪܘܠܣܟܝ	Nowy Dwór Królewski
ܐܪܙܦܬܐ	Hammer
ܝܘܢܫܘܦܝܢ	Jönköping
ܥܘܠܐ ܚܝܐ	Fetus
ܐܠܦܒܝܬ ܣܘܪܝܝܐ	Syriac alphabet
ܐܠܦܒܝܬ ܐܪܡܝܐ	Aramaic alphabet
ܐܣܝܐ ܡܥܪܒܝܬܐ	Western Asia
ܙܡܪܐ	Singing
ܫܓܠܐ	Hopscotch
ܩܠܦܬܐ ܕܒܣܡܐ	Cinnamon
ܡܙܬܐ	Hair
ܠܫܢܐ ܐܪܡܝܐ	Aramaic language
ܨܦܪܐ (ܛܝܪܐ)	Sparrow
ܐܦܣܩܘܦܐ	Bishop
ܓܒܐ ܕܝܡܘܩܪܛܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Democratic Party (United States)
ܒܝܐܛܪܝܟܣ ܕܒܝܬ ܗܘܠܢܕܝܐ	Beatrix of the Netherlands
ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Kingdom of the Netherlands
ܐܒܪܝܠ ܠܐܒܝܢ	Avril Lavigne
ܪܝܫ ܩܘܛܢܝܘܬܐ	President
ܐܚܐ (ܒܝܬܝܘܬܐ)	Sibling
ܐܪܒܝܐ	Arabian Peninsula
ܡܪܩܘܣ ܐܘܢܓܠܣܛܐ	Mark the Evangelist
ܥܘܠܐ	Embryo
ܠܫܢܐ ܕܗܟܐ	Hakka Chinese
ܐܪܡܝܐ ܕܒܬܠܡܘܕ ܒܒܠܝܐ	Jewish Babylonian Aramaic
ܫܘܫܡܢܝܬܐ (ܝܥܝܬܐ)	Elettaria cardamomum
ܠܫܢܐ ܕܓܐܢ	Gan Chinese
ܒܝܬ ܥܬܩܐ	Museum
ܐܠܦܒܝܬ ܥܒܪܝܐ	Hebrew alphabet
ܠܫܢܐ ܣܘܪܝܝܐ	Syriac language
ܒܪܩܐ	Lightning
ܐܝܕܐ	Hand
ܫܡܥܘܢ ܟܐܦܐ	Saint Peter
ܬܠ ܐܒܝܒ	Tel Aviv
ܒܐܠܦܐܪܐܝܣܘ	Valparaíso
ܛܘܪܝܐ	Turoyo language
ܠܫܢܐ ܫܝܡܝܐ	Semitic languages
ܚܘܣܢܝ ܡܘܒܐܪܟ	Hosni Mubarak
ܘܐܟܐܩܐ	Oaxaca
ܚܐܘܬܐ	Butter
ܐܘܢܓܠܝܘܢ	Gospel
ܠܫܢܐ ܕܘܘ	Wu Chinese
ܪܘܛܪܕܐܡ	Rotterdam
ܩܪܛܐ	Crete
ܐܘܪܚܐ	Road
ܩܘܪܨܐ ܚܠܝܨܐ	Compact disc
ܨܒܥܐ	Digit (anatomy)
ܦܪܬ	Euphrates
ܩܝܘܛܘ	Kyoto
ܥܣܪܐ ܦܘܩܕܢܐ	Ten Commandments
ܒܪܩܩܐ ܦܪܣܝܐ	Persian Gulf
ܚܠܐ (ܕܚܝܚܐ)	Sand
ܘܪܕܐ	Rose
ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Peninsula
ܐܘܪܝܬܐ	Torah
ܟܘܘܝܬ (ܡܕܝܢܬܐ)	Kuwait City
ܡܚܙܝܬܐ	Mirror
ܥܡܐ ܥܪܒܝܐ	Arabs
ܟܘܬܐ	Window
ܠܫܢܐ ܝܘܢܝܐ ܥܬܝܩܐ	Ancient Greek
ܠܫܢܐ ܐܟܕܝܐ	Akkadian language
ܕܩܠܬ	Tigris
ܐܬܪܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	U.S. state
ܡܥܡܘܕܝܬܐ	Baptism
ܩܘܢܓܘ	Congo
ܐܝܢܛܪܠܝܢܓܘܐ	Interlingua
ܐܘܪܟܐ	Length
ܚܠܡܐ	Dream
ܠܫܢܐ ܩܪܕܘܝܐ	Kurdish languages
ܩܡܚܐ	Flour
ܕܢ ܗܐܟ	The Hague
ܠܫܢܐ ܦܘܢܝܩܝܐ	Phoenician language
ܣܝܢܝ (ܓܙܪܬܐ ܝܒܫܢܝܬܐ)	Sinai Peninsula
ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ	Gospel of John
ܬܪܥܐ (ܒܒܐ)	Door
ܪܝܗܐܢܐ	Rihanna
ܛܦܪܐ	Nail (anatomy)
ܐܦܐ	Face
ܨܨܐ (ܨܢܥܬܐ)	Nail (fastener)
ܙܝܬܐ	Olive
ܬܠܝܬܝܘܬܐ	Trinity
ܓܠܠܐ	Wave
ܟܬܒܬܐ	Writing
ܪܘܚܐ ܕܩܘܕܫܐ	Holy Spirit
100 (ܡܢܝܢܐ)	100 (number)
ܒܘܪܟܐ	Knee
ܫܘܩܐ (ܬܐܓܪܘܬܐ)	Market (economics)
ܠܫܢܐ ܥܪܒܝܐ ܝܗܘܕܝܐ	Judeo-Arabic languages
ܒܠܛܝ	Bălți
1000000 (ܡܢܝܢܐ)	Million
ܛܐܒܐ	News
ܐܫܬܐ (ܐܣܝܘܬܐ)	Fever
ܩܫܬܐ ܓܪܒܝܝܬܐ ܕܐܪܥܐ	Northern Hemisphere
ܡܡܘܢܐ ܕܡܝܟܪܐ	Microeconomics
ܠܝܕܣ	Leeds
ܥܘܩܒܪܐ	Mouse
ܦܘܪܬܩܠܐ	Orange (colour)
ܒܪܩܩܐ	Bay
ܒܝܬ ܩܒܘܪܐ	Cemetery
ܐܣܝܐ (ܫܕܬܐ)	Physician
ܡܩܕܘܢܝܐ	Macedonia
ܦܢܛܝܩܘܣܛܝ	Pentecost
ܫܓܕܬܐ	Almond
ܟܪܘܙܘܬܐ ܕܠܘܩܐ	Gospel of Luke
ܩܘܢܣܦܣܝܘܢ (ܗܘܦܪܟܝܐ)	Concepción Province, Chile
ܢܗܪܐ ܕܝܘܪܕܢܢ	Jordan River
ܣܦܪ ܝܡܐ	Beach
ܐܢܛܐܠܝܐ (ܗܘܦܪܟܝܐ)	Antalya Province
ܦܪܟܣܝܣ ܕܫܠܝܚܐ	Acts of the Apostles
ܥܪܘܒܬܐ ܕܚܫܐ	Good Friday
ܚܒܘܫܝܐ	Prison
ܐܕܢܐ (ܗܘܦܪܟܝܐ)	Adana Province
ܝܘܚܢܢ ܡܥܡܕܢܐ	John the Baptist
ܨܠܝܒܐ	Cross
ܚܙܒܐܠܠܗ	Hezbollah
ܒܝܬ ܓܒܝܢܐ	Forehead
ܡܙܡܘܪܐ	Psalms
ܐܬܘܪ	Assyria
ܒܢܝܢܐ	Building
ܚܠܒ (ܡܕܝܢܬܐ)	Aleppo
ܩܫܬܐ ܬܝܡܢܝܬܐ ܕܐܪܥܐ	Southern Hemisphere
ܚܠܐ (ܚܡܪܐ)	Vinegar
ܒܝܬ ܕܝܢܐ	Court
ܚܝܦܐ	Haifa
ܪܡܕܐܢ	Ramadan
ܫܛܪܐ ܬܐܒܝܠܝܐ ܕܓܝܢܝܣ	Guinness World Records
ܟܘܕܢܝܐ	Mule
ܒܪܩܩܐ ܕܥܕܢ	Gulf of Aden
ܓܠܝܢܐ ܕܝܘܚܢܢ	Book of Revelation
ܐܫܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Buttocks
ܨܠܘܬܐ ܡܪܝܡܝܬܐ	Hail Mary
ܝܩܕܐ	Fuel
ܝܨܝܠܐ	Elbow
ܟܗܢܐ	Priest
ܕܩܢܐ	Beard
ܢܒܝܐ	Prophet
ܐܘܪܟܝܣܛܪܐ	Orchestra
1000 (ܡܢܝܢܐ)	1000 (number)
ܣܘܦܝܐ ܪܘܛܐܪܘ	Sofia Rotaru
ܬܫܢܝܬܐ	Insurance
ܛܘܟܣܐ	Organization
ܣܦܪܓܠܐ	Quince
ܐܢܕܪܐܘܣ ܫܠܝܚܐ	Andrew the Apostle
ܬܪܥܣܪ ܫܠܝܚܐ	Apostle (Christian)
ܢܩܒܬܐ	Female
ܕܪܥܐ (ܗܕܡܐ)	Arm
ܡܬܝ ܡܟܣܐ	Matthew the Apostle
ܬܐܘܡܐ ܫܠܝܚܐ	Thomas the Apostle
ܦܝܠܝܦܘܣ ܫܠܝܚܐ	Philip the Apostle
ܒܘܪܨܐ (ܗܘܦܪܟܝܐ)	Bursa Province
ܐܝܘܐܢܢܝܣ ܦܘܡܐ ܕܕܗܒܐ	John Chrysostom
ܒܢܝܡܝܢ ܢܬܢܝܗܘ	Benjamin Netanyahu
ܐܪܬܒܝܢ (ܗܘܦܪܟܝܐ)	Artvin Province
ܓܒܝܢܐ	Eyebrow
ܫܘܪܬܐ	Navel
ܐܕܝܐܡܐܢ (ܗܘܦܪܟܝܐ)	Adıyaman Province
ܝܗܘܕܐ ܫܠܝܚܐ	Jude the Apostle
ܒܪܬܘܠܡܝ ܫܠܝܚܐ	Bartholomew the Apostle
ܝܥܩܘܒ ܒܪ ܙܒܕܝ	James, son of Zebedee
ܝܘܚܢܢ ܫܠܝܚܐ	John the Apostle
ܡܬܝܐ ܫܠܝܚܐ	Saint Matthias
ܝܥܩܘܒ ܒܪ ܚܠܦܝ	James, son of Alphaeus
ܕܟܪܐ	Male
ܐܝܓܢܐܛܝܘܣ ܢܘܪܢܐ	Ignatius of Antioch
ܪܕܝܘܗܕ	Radiohead
ܒܫܐܪ ܐܠܐܣܕ	Bashar al-Assad
ܪܚܝܐ	Mill (grinding)
ܨܘܡܐ	Fasting
ܕܝܪܐ	Monastery
ܠܡܐܢܐ	Port
ܡܠܚܐ (ܢܘܛܐ)	Sailor
ܐܦܝܘܢ (ܗܘܦܪܟܝܐ)	Afyonkarahisar Province
ܡܝܟܐܝܠ (ܡܠܐܟܐ)	Michael (archangel)
ܒܝܠܓܝܟ (ܗܘܦܪܟܝܐ)	Bilecik Province
ܒܝܬ ܥܬܩܐ ܕܐܣܪܐܝܠ	Israel Museum
ܒܐܠܝܟܣܝܪ (ܗܘܦܪܟܝܐ)	Balıkesir Province
ܒܝܬ ܝܠܕܐ	Birthday
ܬܘܠܥܐ	Worm
ܬܘܩܢ ܓܝܕܝܐ ܩܢܛܪܘܢܝܐ	Central nervous system
ܛܘܪܐ ܕܓܠܝܕܐ	Iceberg
ܡܫܠܡܢܐ	Muslim
ܢܢܥܐ	Mentha
ܩܠܒܐ:Commonscat	Template:Commons category
ܒܨܪܐ (ܡܕܝܢܬܐ)	Basra
ܐܓܪܬܐ ܕܠܘܬ ܪܗܘܡܝܐ	Epistle to the Romans
ܬܡܪܐ ܕܥܝܢܐ	Eyelid
ܗܘܦܪܟܝܣ ܕܛܘܪܩܝܐ	Provinces of Turkey
ܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ	Saint George
ܐܣܘܬܐ ܕܠܐ ܬܚܘܡܐ	Médecins Sans Frontières
ܐܪܙܐ (ܡܫܝܚܝܘܬܐ)	Sacrament
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܝܦܣܝܐ	Epistle to the Philippians
ܐܢܛܘܠܝܐ	Anatolia
ܡܫܝܚܐ	Messiah
ܚܫܡܝܬܐ ܐܚܪܝܬܐ	Last Supper
ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ	Apostles' Creed
ܒܢܝ ܐܝܣܪܐܝܠ	Israelites
ܡܓܘܫܐ ܬܠܬܐ	Biblical Magi
ܝܘܚܢܢ ܕܪܡܣܘܩܝܐ	John of Damascus
ܒܒܐ (ܬܪܥܐ)	Gate
ܣܕܪܐ:ܡܠܟܐ	Category:Kings
ܠܫܢܐ ܕܡܝܢ	Min Chinese
ܥܘܪܡܫܐ	Pollution
ܒܒܠ (ܗܘܦܪܟܝܐ)	Babil Governorate
ܫܘܡܪܐ	Soot
ܐܫܩܠܘܢ	Ashkelon
ܕܘܢܒܐ	Tail
ܩܐܕܣܝܐ (ܗܘܦܪܟܝܐ)	Al-Qādisiyyah Governorate
ܡܪܝܡ ܡܓܕܠܝܬܐ	Mary Magdalene
ܡܪܪܬܐ	Gallbladder
ܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Chaldean Catholic Church
ܥܕܬܐ ܡܪܘܢܝܬܐ	Maronite Church
ܡܪܬܐ	Bile
ܩܘܪܒܢܐ	Eucharist
ܐܕܡ	Adam
ܐܘܘܫܐ	Earwax
ܕܡܥܬܐ	Tears
ܥܡܬܐ (ܒܝܬܝܘܬܐ)	Aunt
ܥܡܐ (ܒܝܬܝܘܬܐ)	Uncle
ܟܘܬܝܢܐ	Shirt
ܝܘܗܐܢ ܐܠܙܪ	Johann Georg Elser
ܒܝܢܓܘܠ (ܗܘܦܪܟܝܐ)	Bingöl Province
ܥܡܐ ܐܪܡܢܝܐ	Armenians
ܐܝܕܝܢ (ܗܘܦܪܟܝܐ)	Aydın Province
ܩܛܠܥܡܐ ܐܪܡܢܝܐ	Armenian Genocide
ܐܡܐܣܝܐ (ܗܘܦܪܟܝܐ)	Amasya Province
ܦܪܝܙܘܢ ܒܪܝܟ	Prison Break
ܐܓܪܝ (ܗܘܦܪܟܝܐ)	Ağrı Province
ܒܘܪܕܘܪ (ܗܘܦܪܟܝܐ)	Burdur Province
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ	First Epistle to the Corinthians
ܝܗܘܕܐ ܣܟܪܝܘܛܐ	Judas Iscariot
ܐܒܪܐ	Feather
ܡܚܪܐ	Engineer
ܚܪܛܘܡܢܐ	Chickpea
ܐܬܪܘܬܐ ܕܫܐܡ	Levant
ܬܪܘܕܐ	Spoon
ܓܒܪܐܝܠ (ܡܠܐܟܐ)	Gabriel
ܓܪܡܦܝܠܐ	Ivory
ܨܘܪ	Tyre, Lebanon
ܒܘܠܘ (ܗܘܦܪܟܝܐ)	Bolu Province
ܙܢܩܐ	Chin
ܨܘܡܐ ܕܐܪܒܥܝܢ	Lent
ܐܓܪܐ ܕܒܢܝܢܐ	Roof
ܒܝܛܠܝܣ (ܗܘܦܪܟܝܐ)	Bitlis Province
ܓܠܝܠܐ	Galilee
ܪܥܡܐ	Thunder
ܡܘܨܠ	Mosul
ܟܪܬܐ	Thumb
ܥܡܐ ܛܘܪܩܝܐ	Turkish people
ܦܐܦܐ ܫܢܘܕܐ ܬܠܝܬܝܐ	Pope Shenouda III of Alexandria
ܒܝܬ ܓܘܣܐ	Bunker
ܒܝܥܬܐ	Egg (food)
ܒܣܕܝܐ	Pillow
ܙܓܐ (ܢܩܘܫܐ)	Bell (instrument)
ܫܒܬܐ (ܝܗܘܕܝܘܬܐ)	Shabbat
ܫܡܝܪܡ	Semiramis
ܫܝܓܪܐ	Gingiva
ܝܗ	Tetragrammaton
ܡܫܝܚܝܐ	Christian
ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ	Gospel of Mark
ܟܟܪܝܬܐ ܕܕܒܫܐ	Honeycomb
ܐܓܪܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ ܕܬܪܬܝܢ	Second Epistle to the Corinthians
ܫܥܘܬܐ (ܡܠܘܐܐ)	Wax
ܛܥܡܐ	Taste
ܓܢܬ ܫܒܪܐ	Kindergarten
ܝܡܬܐ ܕܓܠܝܠܐ	Sea of Galilee
ܕܝܘܬܐ	Ink
ܡܪܝ ܝܘܣܦ	Saint Joseph
ܠܘܩܐ ܐܘܢܓܠܣܛܐ	Luke the Evangelist
ܐܓܪܬܐ ܕܠܘܬ ܥܒܪܝܐ	Epistle to the Hebrews
ܐܓܪܬܐ ܕܠܘܬ ܓܠܛܝܐ	Epistle to the Galatians
ܡܪܝ ܡܝܟܐܝܠ ܪܒܐ	Michael the Syrian
Ϝ	Digamma
Ϙ	Koppa (letter)
ܥܛܡܐ	Thigh
ܬܢܢܐ	Smoke
ܡܘܚܘܢܐ	Cerebellum
ܐܓܪܬܐ ܕܠܘܬ ܩܘܠܣܝܐ	Epistle to the Colossians
ܐܓܪܬܐ ܕܝܥܩܘܒ	Epistle of James
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܝܘܚܢܢ	First Epistle of John
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܡܘܢ	Epistle to Philemon
ܐܓܪܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ ܕܬܪܬܝܢ	Second Epistle to the Thessalonians
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ	First Epistle to the Thessalonians
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܦܛܪܘܣ	First Epistle of Peter
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	Second Epistle of Peter
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ	First Epistle to Timothy
Ϛ	Stigma (letter)
ܡܪܕܝܢ (ܗܘܦܪܟܝܐ)	Mardin Province
ܚܡܨ (ܡܕܝܢܬܐ)	Homs
Ͳ	Sampi
ܘܐܟܐܩܐ ܕܝ ܟܘܐܪܝܣ	Oaxaca, Oaxaca
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	Second Epistle of John
ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	Third Epistle of John
ܐܓܪܬܐ ܕܝܗܘܕܐ	Epistle of Jude
ܐܓܪܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	Second Epistle to Timothy
ܐܓܪܬܐ ܕܠܘܬ ܛܛܘܣ	Epistle to Titus
ܫܝܪܢܐܟ (ܡܕܝܢܬܐ)	Şırnak
ܐܟܪܐ	Farmer
ܓܘܣܢܐ	Refugee
Ϻ	San (letter)
ܩܠܝܕܐ (ܡܐܢܐ)	Key (lock)
ܥܕܥܐܕܐ	Festival
ܐܪܒܝܠ (ܡܕܝܢܬܐ)	Erbil
ܪܓܠܐ	Leg
ܚܨܐ	Human back
ܐܠܝܐ ܢܒܝܐ	Elijah
ܙܚܘܪܝܬܐ (ܬܘܠܥܬܐ)	Bombyx mori
ܚܘܦܝܐ	Eclipse
ܡܚܛܐ	Sewing needle
ܥܠܡܐ ܥܪܒܝܐ	Arab world
ܦܓܘܕܬܐ	Bridle
ܩܛܡܐ	Ash (analytical chemistry)
ܢܘܗܕܪܐ (ܡܕܝܢܬܐ)	Dohuk
ܨܒܥܐ ܕܪܓܠܐ	Toe
ܠܘܚܐ (ܚܫܘܒܬܐ)	Tablet computer
ܪܒܝܬܐ	Usury
ܡܟܝܪܘܬܐ	Engagement
ܫܘܪܡܐ	Rectum
ܐܪܡܝܐ (ܢܒܝܐ)	Jeremiah
ܬܐܡܐ	Twin
ܬܠܝܦܐ	Eyelash
ܫܥܬܐ ܕܐܪܥܐ	Earth Hour
ܦܪܡܝܬܐ	Button
ܟܘܟܒܐ ܕܕܘܝܕ	Star of David
ܡܪܝ ܐܣܛܦܢܘܣ	Saint Stephen
ܡܫܡܫܢܐ	Deacon
ܢܓܒ	Negev
ܟܢܥܢ	Canaan
ܢܘܨܦܐ	Twilight
ܒܝܢܐ	Tamarix
ܬܓܪܝܬ	Tikrit
ܚܠܐ (ܥܦܪܐ)	Dust
ܬܪܥܐ ܕܕܡܐ	Bleeding
ܥܪܒܐ ܕܫܡܫܐ	Sunset
ܐܡܝܫܐ	Swamp
ܡܨܥܝܬܐ (ܨܒܥܐ)	Middle finger
ܣܒܐ (ܒܝܬܝܘܬܐ)	Grandparent
ܩܘܪܨܠܐ	Ankle
ܒܪ ܐܝܕܐ	Glove
ܢܫܒܐ ܕܥܝܢܐ	Retina
ܬܘܩܢ ܓܝܕܝܐ ܡܚܕܘܪܝܐ	Peripheral nervous system
ܛܝܢܐ	Mud
ܓܓܘܠܬܐ	Calvary
ܗܢܝܢܐ (ܡܡܫܚܘܬܐ)	Interest
ܐܫܘܪ ܒܢܐܦܠ	Ashurbanipal
ܓܕܫܐ	Accident
ܦܛܪܝܪܟܐ	Patriarch
ܚܟܐ	Palate
ت	Taw
ث	Ṯāʾ
خ	Ḫāʾ
ذ	Ḏāl
ܪܓܫܐ	Sense
ܟܪܟ ܣܠܘܟ (ܡܕܝܢܬܐ)	Kirkuk
ܒܒܬܐ	Pupil
ܩܒܪܐ	Grave
ܠܒܘܢܬܐ	Frankincense
ܚܡܬ (ܡܕܝܢܬܐ)	Hama
ܝܫܛܐ	Esophagus
ܟܝܣܐ ܕܐܫܟܐ	Scrotum
ܕܒܪܐ	Rural area
ܚܪܘܫܬܐ	Trachea
ܓܪܡܐ ܕܥܛܡܐ	Femur
ܒܪܐ (ܒܝܬܝܘܬܐ)	Son
ܫܚܘܪܐ	Charcoal
ܐܘܟܡܐ ܕܥܝܢܐ	Iris (anatomy)
ܫܦܠܘܗܝ ܕܢܝܠܘܣ	Nile Delta
ܐܘܪܡܝܐ	Urmia
Ϸ	Sho (letter)
ܓܙܪܬܐ ܐܝܘܠܝܬܐ	Aeolian Islands
ܓܒܐ ܕܒܥܬ	Ba'ath Party
ܦܩܪܐ	Spinal vertebra
ܒܪ ܩܠܐ	Echo
ܟܝܡܪܐ	Chimera (mythology)
ܠܘܓܡܐ	Maxilla
ܛܪܘܢܐ	Dictator
ܬܝܒܘܬܐ	Sacrament of Penance (Catholic Church)
ܡܛܘܚܬܐ	Index finger
ܩܒܠܘܬܐ	Midwife
ܐܪܙܝܪܐ	Starling
ܣܦܪܐ (ܩܢܘܢܝܐ)	Jurist
Ͱ	Heta
ܥܡܐ ܐܪܡܝܐ	Arameans
ܟܢܘܢܬܐ (ܫܪܝܬܐ)	Wrist
ܐܒܐ (ܐܠܗܐ)	God the Father
ܐܢܒܐܪ (ܗܘܦܪܟܝܐ)	Al Anbar Governorate
ܡܪܕܝܢ (ܡܕܝܢܬܐ)	Mardin
ܣܪܛܢܐ	Cancer (disambiguation)
ܡܘܪܘܢ	Confirmation
ܚܠܡܬܐ	Nipple
ܢܘܠܐ ܕܓܘܓܝ	Spider web
ܐܫܥܝܐ	Isaiah
ܒܪܬ ܙܘܓܐ (ܒܝܬܝܘܬܐ)	Wife
ܒܝܬ ܟܬܒܐ ܐܬܪܝܐ ܕܐܣܪܐܝܠ	National Library of Israel
ܥܪܫܐ	Molar (tooth)
ܢܝܢܘܐ (ܗܘܦܪܟܝܐ)	Nineveh Governorate
ܢܘܗܕܪܐ (ܗܘܦܪܟܝܐ)	Dohuk Governorate
ܘܐܣܛ (ܗܘܦܪܟܝܐ)	Wasit Governorate
ܨܠܐܚ ܐܠܕܝܢ (ܗܘܦܪܟܝܐ)	Saladin Governorate
ܟܢܘܫܝܐ ܕܠܫܢܐ ܥܒܪܝܐ	Academy of the Hebrew Language
ܥܘܕ	Oud
ܒܓܕܐܕ (ܗܘܦܪܟܝܐ)	Baghdad Governorate
ܣܪܓܐ	Saddle
ܒܨܪܐ (ܨܒܥܐ)	Ring finger
ܩܛܝܣܦܘܢ	Ctesiphon
ܟܒܘܫܐ	Nightmare
ܢܓܦ (ܗܘܦܪܟܝܐ)	Najaf Governorate
ܟܪܟ ܣܠܘܟ (ܗܘܦܪܟܝܐ)	Kirkuk Governorate
ܕܢܚܐ ܕܫܡܫܐ	Sunrise
ܬܐܪܬܐ	Conscience
ܒܨܪܐ (ܗܘܦܪܟܝܐ)	Basra Governorate
ܡܫܚܐ ܕܟܪܝܗܐ	Anointing of the Sick
ܦܠܫܬ	Philistines
ܐܠܥܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Rib
ܥܕܬܐ ܐܝܓܘܦܛܝܬܐ	Coptic Orthodox Church of Alexandria
ܐܢܛܝܘܟܝܐ	Antioch
ܐܦܪܝܡ ܣܘܪܝܝܐ	Ephrem the Syrian
ܐܝܙܝܕܝܐ	Yazidis
ܪܝܫܘܢ ܠܬܣܝܘܢ	Rishon LeZion
ܟܢܪܐ	Lyre
ܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Assyrian Church of the East
ܬܠܐ ܕܚܕ ܐܝܠܢ	One Tree Hill (TV series)
ܡܘܪܐ	Myrrh
ܦܕܪܠܝܐ	Federalism
ܐܠܝܫܥ	Elisha
ܗܟܐܪܝ (ܡܕܝܢܬܐ)	Hakkâri
ܣܢܚܪܝܒ	Sennacherib
ܩܘܪܝܐܠܝܣܘܢ	Kyrie
ܟܢܘܫܝܐ ܕܐܣܪܐܝܠ ܕܝܘܠܦܢܐ ܘܐܢܫܝܬܐ	Israel Academy of Sciences and Humanities
