अफ़्रीका	Africa
अन्तर्राष्ट्रीय मानक संगठन/अन्तर्राष्ट्रीय विद्युततक्नीकी आयोग 80000	ISO/IEC 80000
दूधराज	Asian paradise flycatcher
विदर्भ	Vidarbha
स्पियरफ़िश, दक्षिण डकोटा	Spearfish, South Dakota
विकाराबाद	Vikarabad
पोल्यस्त्रते	Polystratus the Epicurean
लाहीजान	Lahijan
झारसुगुड़ा जिला	Jharsuguda district
बाली बम काण्ड २००५	2005 Bali bombings
दिसम्बर 2011 नाइजीरिया बम विस्फोट	December 2011 Nigeria bombings
मोनाल	Monal
विचारों का इतिहास	History of ideas
अत्यधिक उच्चावृत्ति (EHF)	Extremely high frequency
तेलुगू लिपि	Telugu script
२००९ ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - पुरुष एकल	2009 Australian Open – Men's Singles
शक्ति मॉसफेट	Power MOSFET
१९९७ ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - पुरुष युगल	1997 Australian Open – Men's Doubles
ई-मेल क्लाइंट	Email client
अंतरा	Antara (news agency)
२००७ फ़्रेंच ओपन टेनिस प्रतियोगिता - पुरुष एकल	2007 French Open – Men's Singles
अपमान	Insult
फ़्रेड्रिक जी डोन्नान	Frederick G. Donnan
१९८८ अमरीकी ओपन टेनिस प्रतियोगिता - महिला एकल	1988 US Open – Women's Singles
बाड कोनिग्शोफ़न	Bad Königshofen
२०१३ यूईएफए चैंपियंस लीग फाइनल	2013 UEFA Champions League Final
न्यू जर्सी नैट्स	Brooklyn Nets
ओण्टारियो (बहुविकल्पी)	Ontario (disambiguation)
शुक्राचार्य	Shukra
राष्ट्रीय पुस्तक पुरस्कार	National Book Award
दवना	Anthemideae
क़सीदा	Qasida
जयपुर अन्तर्राष्ट्रीय विमानक्षेत्र	Jaipur Airport
ब्लॅस्टियम	Blestium
१९९५ विम्बलडन टेनिस प्रतियोगिता	1995 Wimbledon Championships
हर्बालाइफ	Herbalife
मोरोन (शहर)	Mörön
अहुअछापान प्रदेश	Ahuachapán Department
जोधा अकबर (2008 फ़िल्म)	Jodhaa Akbar
कारास प्रदेश	ǁKaras Region
कालीकट अंतर्राष्ट्रीय विमानक्षेत्र	Calicut International Airport
वाले दी माई राष्ट्रीय उद्यान	Vallée de Mai
अनिवार्य मतदान	Compulsory voting
कदंब वृक्ष	Neolamarckia cadamba
पार्श्व न्यूमोनिया	Contagious bovine pleuropneumonia
ओस्टवाल्ड तनुता नियम	Law of dilution
२००२ यूईएफए चैंपियंस लीग फाइनल	2002 UEFA Champions League Final
पश्च-प्रदीप	Backlight
कपिल	Kapila
पदोन्नति	Promotion (rank)
पृथ्वी नारायण शाह	Prithvi Narayan Shah
क्रोध का नियंत्रण	Anger management
चरघातांकी क्षय	Exponential decay
बैलिस्टिकरोधी प्रक्षेपास्त्र	Anti-ballistic missile
एन्टी फ़ासिस्ट पीपल्स फ़्रीडम लीग	Anti-Fascist People's Freedom League
विरोधी आयरिश भावना	Anti-Irish sentiment
शमन	Sedation
अंतलिखित	Antialcidas
सफेद पुट्ठे वाली मुनिया	White-rumped munia
अल्फ्रेड ऑस्टिन	Alfred Austin
कृष्ण चंदर	Krishan Chander
प्रति गुरुत्वाकर्षण	Anti-gravity
डैनी डेन्जोंगपा	Danny Denzongpa
पेशियों का खिंचाव	Strain (injury)
के एस सुदर्शन	K. S. Sudarshan
समुत्खण्डन	Spallation
मॉन्ट्रियल अलॉतेस	Montreal Alouettes
२००८ ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता	2008 Australian Open
1953 विम्बलडन टेनिस प्रतियोगिता - महिला एकल	1953 Wimbledon Championships – Women's Singles
क्रिकेट का बल्ला	Cricket bat
1993 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल	1993 Australian Open – Women's Singles
एण्टीलीन धारा	Antilles Current
विलियम बॉरी	William Bowrey
न्गारी विभाग	Ngari Prefecture
संचार व्यवस्था	Communications system
फ़िल्मफ़ेयर सर्वश्रेष्ठ संगीतकार पुरस्कार	Filmfare Award for Best Music Director
माणिक सरकार	Manik Sarkar
वडोदरा जिला	Vadodara district
माइकल लुकास	Michael Lucas (director)
विषम-सम क्रमबद्ध	Odd–even sort
प्लैनम बोरेयम	Planum Boreum
२००७ विम्बलडन टेनिस प्रतियोगिता - महिला युगल	2007 Wimbledon Championships – Women's Doubles
उत्तर कन्नड़ ज़िला	Uttara Kannada
बॉलहम स्टेशन	Balham station
उपन्यासों के लिए बुकर पुरस्कार विजेताओं एवं चुने हुए लेखकों की सूची	List of winners and shortlisted authors of the Booker Prize for Fiction
सोयूज़	Soyuz (spacecraft)
तिकोना जंक्शन	Wye (rail)
कोसी प्रमंडल	Kosi division
पाटण, गुजरात	Patan, Gujarat
२०११ यूईएफए यूरोपा लीग फाइनल	2011 UEFA Europa League Final
ऐंटोनोव एन-32	Antonov An-32
नम्रता शिरोडकर	Namrata Shirodkar
अर्दकान	Ardakan
गंगा देवी	Ganges in Hinduism
गांधी-इरविन समझौता	Gandhi–Irwin Pact
ग्वादर	Gwadar
तुआपो ज्वालामुखीय क्षेत्र	Taupo Volcanic Zone
फ़िल्मफ़ेयर सर्वश्रेष्ठ पार्श्व गायक पुरस्कार	Filmfare Award for Best Male Playback Singer
जिब्राल्टर बंदरगाह प्राधिकरण	Gibraltar Port Authority
1972 फ़्रेंच ओपन टेनिस प्रतियोगिता - महिला एकल	1972 French Open – Women's Singles
अफ़्रीका की अर्थव्यवस्था	Economy of Africa
कोलंबिया अन्तरिक्ष यान आपदा	Space Shuttle Columbia disaster
१९२० ग्रीष्मकालीन ओलंपिक में भारत	India at the 1920 Summer Olympics
१९३२ ग्रीष्मकालीन ओलंपिक में भारत	India at the 1932 Summer Olympics
मालेगांव	Malegaon
देवीकरण	Apotheosis
द बोन कलेक्टर	The Bone Collector
आइएसओ ३१	ISO 31
द स्पेक्टेटर (1711)	The Spectator (1711)
द वेस्ट लैंड	The Waste Land
१९२४ ग्रीष्मकालीन ओलंपिक में भारत	India at the 1924 Summer Olympics
कंडला	Kandla
सतारा	Satara (city)
फोल्ड इट	Foldit
आँवला (नगर)	Aonla, Uttar Pradesh
श्मिट संख्या	Schmidt number
कूर्म पुराण	Kurma Purana
रोज बाउल	Rose Bowl (stadium)
कोंटाओ	Contao
प्रथम आंग्ल-सिख युद्ध	First Anglo-Sikh War
ज्वरहारी	Antipyretic
पनोरमा	Panorama (Gibraltar)
सिख	Sikh
लेओला, दक्षिण डकोटा	Leola, South Dakota
खेल (1991 फ़िल्म)	Khel (1992 film)
1998 पेरिस मास्टर्स	1998 Paris Open
फैडेक्स फील्ड	FedExField
अजयगढ़	Ajaigarh
उत्तर अमेरिका का भूगोल	Geography of North America
खनिज तेल	Mineral oil
जिब्राल्टर राष्ट्रीय फुटबॉल टीम	Gibraltar national football team
सेंट माइकल की गुफा	St. Michael's Cave
असंध	Assandh
अंबरनाथ	Ambarnath
संवातन	Ventilation (architecture)
2001 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - पुरुष एकल	2001 Australian Open – Men's Singles
उडुपी	Udupi
कीत्स	Kiez
बास्किन-रॉबिन्स	Baskin-Robbins
बलिया जिला	Ballia district
1969 अमरीकी ओपन टेनिस प्रतियोगिता - पुरुष एकल	1969 US Open – Men's Singles
प्रभा राव	Prabha Rau
अंतू	Antu, India
अवन्तिपुर	Awantipora
मेरीलेबोन क्रिकेट क्लब	Marylebone Cricket Club
स्पंद-विस्तार मॉडुलन	Pulse-width modulation
फ्रांज फॉन लेनबाख़	Franz von Lenbach
मोरेन सौल्निएर एल	Morane-Saulnier L
पा (फ़िल्म)	Paa (film)
उमराव जान	Umrao Jaan (1981 film)
मुक्त इलेक्ट्रॉन लेजर	Free-electron laser
गुंटकल	Guntakal
२००८ ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला युगल	2008 Australian Open – Women's Doubles
1972 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल	1972 Australian Open – Women's Singles
नयागढ़	Nayagarh
स्विच मोड पॉवर सप्लाई	Switched-mode power supply
रज़ावी ख़ोरासान	Razavi Khorasan Province
अलांग	Alang
जनगणना नगर	Census town
अहरौरा	Ahraura
अकलेरा	Aklera
लोकतंत्र का इतिहास	History of democracy
हार्टले दोलक	Hartley oscillator
बाह्यउष्मीय	Ectotherm
कुप्पम	Kuppam
ल्लोत्ज़ा दे ला सीदा	Llotja de la Seda
त्रिभुवन विश्वविद्यालय	Tribhuvan University
पुएंते रोमानो	Puente Romano (Mérida)
१९६८ यूरोपीय कप फाइनल	1968 European Cup Final
तुजिया लोग	Tujia people
आरा	Arrah
अमलापुरम	Amalapuram
अमेठी	Amethi
पटाख़ा	Firecracker
बदरीनाथ	Badrinath
अल्मोड़ा	Almora
अमरकंटक	Amarkantak
मैरी ट्यूडर, फ्रांस की रानी	Mary Tudor, Queen of France
आनन्दपुर साहिब	Anandpur Sahib
किम	Kim (novel)
अम्बाजी मंदिर, गुजरात	Ambaji
२००५ अमरीकी ओपन टेनिस प्रतियोगिता	2005 US Open (tennis)
ओरोविल	Auroville
बगहा	Bagaha
बदामी, कर्नाटक	Badami
१९९० अमरीकी ओपन टेनिस प्रतियोगिता - पुरुष एकल	1990 US Open – Men's Singles
बड़नगर	Badnagar
१९७२ यूरोपीय कप फाइनल	1972 European Cup Final
फरहान अख्तर	Farhan Akhtar
तेहरान प्रांत	Tehran Province
चलचित्रण	Cinematography
फेक जिला	Phek district
वैज्ञानिक साहित्य	Scientific literature
चंद्रमास	Lunar month
भारतीय हाथी	Indian elephant
आदि भीषण बमबारी	Late Heavy Bombardment
कुरुद	Kurud
मैसूर जिला	Mysore district
विंगसूट फ़्लाइंग (उड़ान)	Wingsuit flying
सुजानपुर टीहरा	Tira Sujanpur
इम्यूनोफ्लोरेसेंस	Immunofluorescence
2007 फ़्रेंच ओपन टेनिस प्रतियोगिता - मिश्रित युगल	2007 French Open – Mixed Doubles
1981 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल	1981 Australian Open – Women's Singles
औरंगाबाद जिला	Aurangabad district, Maharashtra
2006 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला एकल	2006 Australian Open – Women's Singles
पारहिमालय	Transhimalaya
फ़िलिप, दक्षिण डकोटा	Philip, South Dakota
शक्ति एलेक्ट्रॉनिकी	Power electronics
फ़राह, अफ़्ग़ानिस्तान	Farah, Afghanistan
बुढ़हानपुर	Burhanpur
डोना ई ओसेई	Dona i Ocell
कुरुक्षेत्र	Kurukshetra
प्रभावक्षेत्र	Sphere of influence
पन्ना मध्य प्रदेश	Panna, India
विश्व के मरुस्थल	List of deserts
१९९३ अमरीकी ओपन टेनिस प्रतियोगिता - महिला एकल	1993 US Open – Women's Singles
नोकिया ५२०० एक्सप्रेस म्यूजिक	Nokia 5200
अरांथा	Pedro Pablo Abarca de Bolea, 10th Count of Aranda
चाइना गेट (1998 फ़िल्म)	China Gate (1998 film)
कमला सुरय्या	Kamala Surayya
विदेश संबंध परिषद (अमेरिका)	Council on Foreign Relations
१९९३ अमरीकी ओपन टेनिस प्रतियोगिता	1993 US Open (tennis)
रेबेका मास्टर्टन	Rebecca Masterton
रोमशे गर्त	Romanche Trench
पील डिस्ट्रिक्ट स्कूल बोर्ड	Peel District School Board
2002 पेरिस मास्टर्स - पुरुष एकल	2002 BNP Paribas Masters – Singles
प्रवेशद्वार:हिन्दी	Postmodern architecture
कन्सोल एनर्जी सेंटर	Consol Energy Center
कनाडा मास्टर्स	Canadian Open (tennis)
न्याय दर्शन	Nyaya
बांग्लादेश के राष्ट्रपति	President of Bangladesh
ओफिडीवोफोबिया	Ophidiophobia
राजसमन्द जिला	Rajsamand district
सास्केचवान रफराइडर्स	Saskatchewan Roughriders
नाब्रो ज्वालामुखी	Nabro Volcano
खिंचाव के निशान	Stretch marks
नियूपोर्ट १०	Nieuport 10
पश्च-प्रक्षेपण टेलीविज़न	Rear-projection television
गेन्दबाज़ी (क्रिकेट)	Bowling (cricket)
काम एयर	Kam Air
७२९ ईसा पूर्व	729 BC
१९९१ यूरोपीय कप फाइनल	1991 European Cup Final
अन्तोनी मारिया अलकुवे ई सुरेदा	Antoni Maria Alcover i Sureda
2003 मैड्रिड मास्टर्स - पुरुष एकल	2003 Mutua Madrileña Masters Madrid – Singles
क्यू यू सी एस	Quite Universal Circuit Simulator
वाजश्रवसपुत्र नचिकेता	Nachiketa
अर्ल्स कोर्ट	Earls Court
बिरसा मुंडा हवाई-अड्डा	Birsa Munda Airport
उत्तरी प्रान्त, श्रीलंका	Northern Province, Sri Lanka
2006 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता	2006 Australian Open
खानदेश	Khandesh
बीजू पटनायक हवाई अड्डा	Biju Patnaik International Airport
आयुर्विज्ञान सूक्ष्मजैविकी	Medical microbiology
बेगूसराय	Begusarai
इग्लिअस दे ला कोंसेप्सिओ	Iglesia de la Concepción (Santa Cruz de Tenerife)
हैटी, दक्षिण डकोटा	Hayti, South Dakota
२००३ यूईएफए कप फाइनल	2003 UEFA Cup Final
रसोई का चाकू	Kitchen knife
मुंहासे	Pimple
द लकी वन (फ़िल्म)	The Lucky One (film)
पोंटिक-कैस्पियाई स्तेपी	Pontic-Caspian steppe
आयरलैंड राष्ट्रीय रग्बी यूनियन टीम	Ireland national rugby union team
जन्तुभूगोल	Zoogeography
पर्च	Perch
पो नागार	Po Nagar
1971 विम्बलडन टेनिस प्रतियोगिता - महिला एकल	1971 Wimbledon Championships – Women's Singles
श्वेत रातें (लघु कथा)	White Nights (short story)
महमूद-ए-राक़ी	Mahmud-i-Raqi
अतिचालकों का वर्गीकरण	Superconductor classification
मूल (संख्या का)	Nth root
सरस्वती लिपि	Indus script
व्यापार	Trade
उत्क्रम समस्या	Hierarchy problem
डेत्रोइट फ्री़ प्रेस	Detroit Free Press
ओपनबिल्ड स्टॉर्क	Asian openbill
दुर्गास्थान	Durgasthan
क्लोनडिके	Klondike, Yukon
बाज़ीगर (1993 फ़िल्म)	Baazigar
1993 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - पुरुष एकल	1993 Australian Open – Men's Singles
ब्रायन ब्लैक	Byron Black
वक्र आसंजन	Curve fitting
जमैकन अंग्रेजी	Jamaican English
एऍलए-ऍलसी रोमनाइजेशन	ALA-LC romanization
2001 पेरिस मास्टर्स	2001 Paris Masters
2002 पेरिस मास्टर्स	2002 BNP Paribas Masters
द सीक्रेट सर्कल	The Secret Circle (TV series)
2003 पेरिस मास्टर्स	2003 BNP Paribas Masters
रिचर्ड चैंसलर	Richard Chancellor
उपमान	Upamāṇa
भारतीय मानक समय	Indian Standard Time
शुक्र के पर्वतों की सूची	List of montes on Venus
ताल (१९९९ फ़िल्म)	Taal (film)
अज़्ना	Azna, Lorestan
दारा शिकोह	Dara Shikoh
मिनेसोटा ट्विंस	Minnesota Twins
मार्व दश्त	Marvdasht
शाहरूद	Shahrud, Iran
मराघे	Maragheh
मियांदोआब	Miandoab
पाक कला पुस्तक	Cookbook
ख्वोय	Khoy
देज़फूल	Dezful
बाबोल	Babol
खगोलीय तालिका	Astronomical catalog
वज्जि	Vajji
मलायेर	Malayer
सीरजान	Sirjan
बंदर-ए-मानशहर	Bandar-e Mahshahr
डू ऍन्ड्रॉइड्स ड्रीम ऑफ़ इलॅक्ट्रिक शीप?	Do Androids Dream of Electric Sheep?
पानीपत का प्रथम युद्ध	First Battle of Panipat
राबिदा द्वीप (गैलापागोस)	Rábida Island
निरंजनानन्द सरस्वती	Niranjanananda Saraswati
बोरुजर्द	Borujerd
अर्कनोइड (खगोलभूविज्ञान)	Arachnoid (astrogeology)
मिंटका दर्रा	Mintaka Pass
फूलों की घाटी राष्ट्रीय उद्यान	Valley of Flowers National Park
1976 अमरीकी ओपन टेनिस प्रतियोगिता - महिला एकल	1976 US Open – Women's Singles
नारायण पण्डित (गणितज्ञ)	Narayana Pandit
नारायण पण्डित	Narayan Pandit
समुद्र मन्थन	Samudra manthan
हितोपदेश	Hitopadesha
कोलम्बो	Colombo District
आगरा ज़िला	Agra district
कभी हाँ कभी ना (1993 फ़िल्म)	Kabhi Haan Kabhi Naa
सिमूलिंक	Simulink
बुकान	Bukan
ओल्गा शाहकेबेटे	Olga Syahputra
एरिना दा बाईजादा	Arena da Baixada
२०१० अंतर्राष्ट्रीय मुक्केबाजी संघ विश्व महिला मुक्केबाजी प्रतियोगिता	2010 AIBA Women's World Boxing Championships
अगुम्बे	Agumbe
प्राचीन यूनानी भार एवं मापन	Ancient Greek units of measurement
भोजन शिष्टाचार	Table manners
१९९५ यूईएफए कप फाइनल	1995 UEFA Cup Final
भंवर	Whirlpool
संघनित्र (उष्मा स्थानान्तरण)	Condenser (heat transfer)
हेरोल्ड एंड कुमार गो टू वाईट कासल	Harold & Kumar Go to White Castle
१९९६ अमरीकी ओपन टेनिस प्रतियोगिता - महिला एकल	1996 US Open – Women's Singles
प्रियंका गांधी	Priyanka Gandhi
संपत्ति कर	Property tax
अपरिमेय संख्या	Irrational number
सोनभद्र जिला	Sonbhadra district
करनाल जिला	Karnal district
1992 कनाडा मास्टर्स	1992 Canadian Open (tennis)
हैरो ऑन द हिल	Harrow on the Hill
सारंगी	Sarangi
नामीबिया के प्रदेश	Regions of Namibia
दैनिकी	General journal
गिलगित	Gilgit
अंतरिक्ष यान प्रणोदन	Spacecraft propulsion
सेंट मैरी रोमन कैथोलिक चर्च	St Mary's Roman Catholic Church, Monmouth
वर्णसदृश प्रतीक	Letterlike Symbols
एबर्गावेनी	Abergavenny
लैंगिक प्रौढ़ता	Sexual maturity
पलार नदी	Palar River
गणितीय सर्वसमिका	Identity (mathematics)
गुलिस्तोन	Guliston
२००९ ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता - महिला युगल	2009 Australian Open – Women's Doubles
जॉर्जिया राष्ट्रीय रग्बी यूनियन टीम	Georgia national rugby union team
कालिया (1981 फ़िल्म)	Kaalia
१९९४ यूईएफए चैंपियंस लीग फाइनल	1994 UEFA Champions League Final
कानपुर देहात जिला	Kanpur Dehat district
विकृति मापी	Strain gauge
शन्दूर दर्रा	Shandur Top
स्वारोवस्की	Swarovski
इंजीनियरिंग ड्राइंग	Plan (drawing)
बोस्तेन झील	Bosten Lake
पश्चिम सिक्किम जिला	West Sikkim district
वैष्णो देवी	Vaishno Devi
एन एफ एल प्लेऑफ, 2007-08	2007–08 NFL playoffs
कण सांख्यिकी	Particle statistics
अनु मलिक	Anu Malik
अनुआक लोग	Anuak people
बीसी प्लेस	BC Place
बलरामपुर	Balrampur
अभिधम्म साहित्य	Abhidharma
द फाउंटनहेड	The Fountainhead
क्वेस्ट फील्ड	CenturyLink Field
हैदराबाद के निज़ाम	Nizam of Hyderabad
वाल्टर रीड	Walter Reed
अनवर	Anwar
६९७ ईसा पूर्व	697 BC
२००८ मियामी मास्टर्स	2008 Sony Ericsson Open
शिवालिक	Sivalik Hills
लाहौर का किला	Lahore Fort
राम सरयू	Ram Sardjoe
मुखर्जी	Mukherjee
पिंगो	Pingo
कैथल जिला	Kaithal district
संगेम	Sanguem
औषधनिर्माण	Pharmacy
खूँटी	Khunti
पैट्रिक मेकनरो	Patrick McEnroe
प्रोवोक्ड (चलचित्र)	Provoked (film)
कन्नौज	Kannauj
सोनाक्षी सिन्हा	Sonakshi Sinha
मिशेल पर्वत	Mount Mitchell
गुड़ी पड़वा	Gudi Padwa
आर्थिक दक्षता	Economic efficiency
चांडाल	Chandala
बॉब लव	Bob Love
जीसैट-3	GSAT-3
अडोबी फ्लेक्स	Apache Flex
पितृवंश समूह आर	Haplogroup R-M207
छिन्नमस्ता	Chhinnamasta
तृतीय आंग्ल-मैसूर युद्ध	Third Anglo-Mysore War
विपसंकेत	BBCode
एस बालाचंद्र	Sundaram Balachander
धार	Dhar
परिपथ विश्लेषण	Network analysis (electrical circuits)
दृष्टिमिति	Optometry
एफेलवीन	Apfelwein
एफ्रोडाईट टेरा	Aphrodite Terra
क्रेग फेडरिघी	Craig Federighi
सादी	Saadi
अपने हुए पराये (1964 फ़िल्म)	Apne Huye Paraye
पर्यावरणीय मनोविज्ञान	Environmental psychology
लांबिक बहुपद	Orthogonal polynomials
उदय कुमार	Udaya Kumar (designer)
बुकोज रिले	Buchholz relay
इलेक्ट्रॉन न्यूट्रिनो	Electron neutrino
भुंतर विमानक्षेत्र	Bhuntar Airport
संकेन्द्रीय वृत्त	Concentric
भूमितिकी	Geomatics
राष्ट्रीय पुस्तकालय (भारत)	National Library of India
भुज रुद्र माता वायुसेना बेस	Bhuj Rudra Mata Air Force Base
लीडर (1964 फ़िल्म)	Leader (1964 film)
विकिपीडिया:लघु पथ	Wikipedia:Shortcut
रस (काव्य शास्त्र)	Rasa (aesthetics)
मनगणित	Mental calculation
टर्मिनेटर (फ़्रैंचाईज़ी)	Terminator (franchise)
मोबाइल अनुप्रयोग	Mobile app
देववाद	Deism
तुष्टीकरण	Appeasement
डॉग्मा	Dogma
लीडिया	Lydia
होशंगाबाद जिला	Hoshangabad district
होशंगाबाद	Hoshangabad
आस्तिकता	Theism
परम निम्न आवृत्ति (SLF)	Super low frequency
समस्या	Problem
आईफ़ोन (पहली पीढ़ी)	IPhone (1st generation)
ओसून-ओसोग्बो	Osun-Osogbo
कैनिजारो अभिक्रिया	Cannizzaro reaction
सकर पंच	Sucker Punch (2011 film)
ईस्ट बंगाल एफ.सी.	East Bengal F.C.
गेल क्रेटर	Gale (crater)
भारतीय साहित्य	Indian literature
अपु त्रयी	The Apu Trilogy
भारत में बैंकिंग	Banking in India
भारतीय प्रौद्योगिकी संस्थान	Indian Institutes of Technology
अपुर संसार (1959 फ़िल्म)	The World of Apu
पथेर पांचाली (1955 फ़िल्म)	Pather Panchali
अपराजितो	Aparajito
नाइट क्लब	Nightclub
सूक्ष्म, लघु एवं मध्यम उद्योग	Small and medium-sized enterprises
ऑस्ट्रेलिया राष्ट्रीय रग्बी यूनियन टीम	Australia national rugby union team
आत्मक्षति	Self-harm
दही	Curd
अधिमान्य स्टॉक	Preferred stock
अभिवृत्ति	Attitude (psychology)
रन्ध्राकाश	Porosity
हेसल स्टेडियम	King Baudouin Stadium
जलचिकित्सा	Hydrotherapy
वियतनामी लिपि	Vietnamese alphabet
कोशी रीमान समीकरण	Cauchy–Riemann equations
क्वार्टरबैक	Quarterback
विद्युत-मापी	Electricity meter
ऍनजीसी ६८२२	NGC 6822
मन्नार की खाड़ी	Gulf of Mannar
तोमर	Tomar
बख्तियारपुर	Bakhtiarpur
लैटेराइट मृदा	Laterite
राष्ट्रीय हित	National interest
हृदय सूत्र	Heart Sutra
शीतोष्ण पृथुपर्णी मिश्रित वन	Temperate broadleaf and mixed forest
मैगनस प्रभाव	Magnus effect
संयुक्त राष्ट्र जनसंख्या कोष	United Nations Population Fund
जलसंत्रास	Aquaphobia
कमीशिया	Roman assemblies
मिलिंग मशीन	Milling cutter
चीन-वियतनाम युद्ध	Sino-Vietnamese War
कुछ कुछ होता है (१९९८ फ़िल्म)	Kuch Kuch Hota Hai
नुमानसिया	Numantia
जूही	Jasminum auriculatum
इनविक्टस	Invictus
टवीटी	Tweety
पट्टा	Belt (mechanical)
मिड डे	Mid Day
त्वरित फुरिअर रूपान्तर	Fast Fourier transform
कर्णवेधन संस्कार	Karnavedha
सामाजिक नियंत्रण	Social control
थन	Udder
असुर	Asura
स्नो व्हाइट एण्ड द हंट्समैन	Snow White and the Huntsman
आराधना (1969 फ़िल्म)	Aradhana (1969 film)
मनोविकृतिविज्ञान	Psychopathology
ऑनलाइन विज्ञापन	Online advertising
काइदू नदी	Kaidu River
विद्युत कर्षण	Electric locomotive
सिपाह-ए-सहाबा पाकिस्तान	Sipah-e-Sahaba Pakistan
आराकान योमा	Arakan Mountains
चांपाकल	Hand pump
खोंग	Rakhine people
कुण्डलिनी	Kundalini
अपरिणत प्रसव	Preterm birth
भारतविद्या	Indology
बम्हनी बंजर	Bamhani
प्रकाशमिति	Photometry (optics)
बगरू	Bagru
बांडीपूर	Bandipore
संगोष्ठी	Convention (meeting)
कर्बला का युद्ध	Battle of Karbala
अरण्येर दिनरात्रि (१९७० फ़िल्म)	Aranyer Din Ratri
ट्रॉन	Tron
जीवन बीमा	Life insurance
2012 ऑस्ट्रेलियाई ओपन टेनिस प्रतियोगिता	2012 Australian Open
अरावली	Aravalli Range
क्षेत्रमापी	Planimeter
नौर्मल स्कूल	Normal school
खाद्य प्रसंस्करण	Food processing
एशिया का इतिहास	History of Asia
मुद्रा बाज़ार	Money market
औद्योगिक विपदाओं की सूची	List of industrial disasters
कन्नौज जिला	Kannauj district
लाल सिर वाला गिद्ध	Red-headed vulture
इन टाइम	In Time
परा उच्च आवृति	Ultra high frequency
सॉल्ट	Salt (2010 film)
मिशन: इम्पॉसिबल - गोस्ट प्रोटोकॉल	Mission: Impossible – Ghost Protocol
किटि हाक	Kitty Hawk, North Carolina
राक्षसताल	Lake Rakshastal
रिक्त परिकल्पना	Null hypothesis
संरक्षण (नैतिक)	Conservation (ethic)
गलनक्रांतिक प्रणाली	Eutectic system
कुणाल कोहली	Kunal Kohli
श्रम कानून	Labour law
बांदीकुई	Bandikui
कार्यस्थल दुर्घटना	Work accident
नूँह, हरियाणा	Nuh (city)
मैक्रो (सॉफ्टवेयर)	Macro (computer science)
मातृभूमि	Heimat
काफिर	Kafir
2011 रूसी विरोध	2011 Russian legislative election protests
एक हसीना थी (2003 फ़िल्म)	Ek Hasina Thi (film)
ग्रीज	Grease (lubricant)
संकोश नदी	Sankosh River
प्रत्यागामी इंजन	Reciprocating engine
गुरु हर राय	Guru Har Rai
साबरमती नदी	Sabarmati River
मुज़ताग़ अता	Muztagh Ata
1987 अमरीकी ओपन टेनिस प्रतियोगिता	1987 US Open (tennis)
रामानुजन अटकल	Ramanujan–Petersson conjecture
ढिकुरे पोखरी	Dhikur Pokhari
पंजाकॅन्त	Panjakent
एचडीएफसी बैंक	HDFC Bank
औषधीय पादपों की सूची	List of plants used in herbalism
मुद्राशास्त्र	Numismatics
गैलेक्सीय सेहरा	Galactic halo
नो एन्ट्री (२००५ फिल्म)	No Entry
वॉलहम ग्रीन	Walham Green
मरीवान	Marivan
फ़ेदचेन्को हिमानी	Fedchenko Glacier
दीव	Diu, India
जबलपुर जिला	Jabalpur district
भारतीय पुरातत्त्व सर्वेक्षण विभाग	Archaeological Survey of India
गण	Gana
अरहर दाल	Pigeon pea
भूखी पीढ़ी (हंगरी जनरेशन)	Hungry generation
बलाचौर	Balachaur
बहज़ोई	Bahjoi
बाली, राजस्थान	Bali, Rajasthan
बाराबंकी जिला	Barabanki district
बाह	Bah
संजय लीला भंसाली	Sanjay Leela Bhansali
बापतला	Bapatla
बांसवाड़ा	Banswara
आर्चिबाल्ड मकलीश	Archibald MacLeish
ढूंढारी	Dhundari language
मांसपेशियों की कमजोरी	Weakness
रोहतांग दर्रा	Rohtang Pass
गणतंत्र-अधीन ज़िले	Districts of Republican Subordination
ख़तलोन प्रान्त	Khatlon Region
संरचना इंजीनियरी	Structural engineering
सतप्रेम	Satprem
कीप काम ऐण्ड कैरी ऑन	Keep Calm and Carry On
यू.एस. सेलुलर फील्ड	U.S. Cellular Field
किरण	Ray (optics)
होर्मोज़्गान प्रांत	Hormozgan Province
सर्वेक्षण पट्ट	Plane table
पूला विश्वविद्यालय	Juraj Dobrila University of Pula
आर्ची	Archie Comics
यू टी एयर फ्लाईट १२०	UTair Flight 120
नशीद अस-सलाम अस-सुल्तानी	As-Salam as-Sultani
बनिहाल	Banihal
दीमापुर जिला	Dimapur district
भाषाई साम्राज्यवाद	Linguistic imperialism
