आफ्रिकाखण्डः	Africa
५३७	537
५३५	535
यमद्वितीया	Bhau-beej
५०२	502
५२७	527
५०८	508
५२५	525
६१३	613
६१८	618
६१७	617
६०८	608
६४५	645
६२१	621
६०६	606
६२३	623
६०४	604
६०३	603
६२६	626
६१९	619
६३४	634
६३०	630
६१४	614
५०५	505
४४६	446
७९१	791
५५७	557
६५६	656
६५७	657
६५९	659
६५१	651
६७६	676
६७०	670
६५२	652
६७३	673
६५४	654
६४७	647
८१२	812
६६९	669
७९२	792
६४९	649
८९५	895
७५६	756
६६३	663
७७९	779
६६२	662
६८४	684
७७३	773
७५७	757
४३५	435
७९०	790
४३७	437
४३३	433
७६४	764
४२६	426
७८१	781
४२५	425
४२९	429
४२३	423
७६५	765
२३५	235
२३३	233
२२३	223
२२४	224
२१६	216
२१९	219
२५४	254
२७२	272
२०८	208
१७५	175
१७०	170
१७१	171
१७२	172
५८	58
५९	59
१३९	139
११४	114
१३४	134
१३५	135
१७९	179
१४२	142
९६	96
१८१	181
१४६	146
१४५	145
१८३	183
१८२	182
१८४	184
३२४	324
५८९	589
शुकः	Parrot
५२१	521
९२	92
५९७	597
३२९	329
१३३	133
४१३	413
२५८	258
२५९	259
१९६	196
२३६	236
७८९	789
३३२	332
६३१	631
४८७	487
६३८	638
४७३	473
१७६	176
१४३	143
६४३	643
५२३	523
२१५	215
१४८	148
२४७	247
४२४	424
६४१	641
४९२	492
६३९	639
२५६	256
४४१	441
१३१	131
१९१	191
४५०	450
६१२	612
६३५	635
६११	611
५३४	534
४८८	488
६०७	607
५२४	524
२८२	282
४७२	472
४७१	471
४९०	490
३१६	316
७९७	797
५११	511
सन्तरणक्रीडा	Swimming (sport)
२९५	295
५९८	598
३०३	303
२५०	250
५१५	515
५१२	512
४१८	418
३३३	333
२९४	294
२१७	217
२७७	277
५७८	578
३१२	312
२८४	284
२८३	283
२४१	241
मेषराशिः	Aries (astrology)
२४३	243
२६२	262
४९८	498
३३६	336
३३४	334
२६६	266
मुष्टिकाताडनक्रीडा	Boxing
२६१	261
४७०	470
३४९	349
२७१	271
२७५	275
२९२	292
२९६	296
३४५	345
४३१	431
३०४	304
५५०	550
५८६	586
५८८	588
५५४	554
२२९	229
५८३	583
२६५	265
२६३	263
५८५	585
५८२	582
५५६	556
४२०	420
२८०	280
५८१	581
५५८	558
३०२	302
३०९	309
३५३	353
३३५	335
३६७	367
३४४	344
२४५	245
२९०	290
४४९	449
३०८	308
२५५	255
४३९	439
३१९	319
३१८	318
२९९	299
४१९	419
४१६	416
३३८	338
३१०	310
३१५	315
३५९	359
३६०	360
२७३	273
२८६	286
२८८	288
२७८	278
४५५	455
५७७	577
५७५	575
४८२	482
४८६	486
५८०	580
५६७	567
५६४	564
५६१	561
३२८	328
३२५	325
३१७	317
५७४	574
५६६	566
२४९	249
३४८	348
४४२	442
४४३	443
२६७	267
२४४	244
२४८	248
३४३	343
५६२	562
४१७	417
२६८	268
५९०	590
२६९	269
४९९	499
मलाला युसुफजई	Malala Yousafzai
४०९	409
४०५	405
४०६	406
४०३	403
४१४	414
४११	411
४१२	412
५६०	560
५९२	592
२७६	276
३१४	314
३२३	323
३६६	366
३६२	362
५४५	545
५३१	531
५१४	514
५१३	513
५३९	539
५३८	538
५१९	519
५१६	516
५२०	520
५२२	522
५२८	528
५०६	506
५२६	526
५०७	507
२१४	214
२१३	213
२१२	212
२२८	228
२२७	227
१४९	149
१७४	174
१८९	189
१९९	199
१४१	141
१३२	132
१२५	125
१२३	123
१४७	147
१४४	144
१९८	198
१७८	178
१७७	177
१८७	187
१९५	195
१८६	186
३४७	347
६२०	620
६२४	624
६०५	605
६२९	629
६१६	616
६१५	615
६४४	644
६४६	646
६३३	633
६३७	637
मोघलसाम्राज्‍यम्	Mughal Empire
४३६	436
४३४	434
२९३	293
४२७	427
सीकर	Sikar
१८५	185
३२१	321
जालन्धर	Jalandhar
३२७	327
४३०	430
त्रोत्स्की	Leon Trotsky
४४७	447
लिटिल् राक्	Little Rock, Arkansas
५६९	569
हुब्बळ्ळी	Hubli
होसपेटे	Hospet
५६८	568
४४४	444
७९६	796
गढ़वाली	Garhwali language
७९८	798
एला	Elettaria cardamomum
७९३	793
६८५	685
हार्टफ़र्ड्	Hartford, Connecticut
७९९	799
६८३	683
२७४	274
डोवर्, डेलावेर्	Dover, Delaware
५७९	579
कुमाँऊनी	Kumaoni language
२८१	281
३०६	306
४३८	438
कश्मीरी	Kashmiri language
२९७	297
४२१	421
२९८	298
३५१	351
३५२	352
३५५	355
९५	95
९४	94
५९४	594
५४२	542
हेमा मालिनी	Hema Malini
४४८	448
४४५	445
३०५	305
२३४	234
५६५	565
कन्नडभाषा	Kannada language
३८१	381
३८५	385
५५३	553
३०७	307
५८४	584
३४६	346
२५७	257
विद्युत्	Lightning
२८५	285
५९१	591
२८९	289
हस्तः	Hand
५६३	563
२५२	252
ओडियाभाषा	Oriya language
नेपाली भाषा	Nepali language
जनसङ्ख्या	Population
५९५	595
२४६	246
५९६	596
५९३	593
३५७	357
५७३	573
नेपालभाषा	Newar language
वालपाराईसो	Valparaíso
अभिनेता	Actor
भल्लातकः	Cashew
जलपातः	Waterfall
५५९	559
५९९	599
३२६	326
३४१	341
३२२	322
३८६	386
३७४	374
३८०	380
नवनीतम्	Butter
१३६	136
कोङ्कणी	Konkani language
लाइनस टोर्वाल्ड्स	Linus Torvalds
अलेग्झाण्डर् ग्रहां बेल्	Alexander Graham Bell
फलितज्योतिषम्	Astrology
वाद्ययन्त्राणि	Musical instrument
हंसः	Swan
न्‍यू आर्लीन्‍स	New Orleans
हिरोहितो	Hirohito
३८२	382
३४२	342
३७३	373
३७२	372
सोमालिलैंड	Somaliland
मधुकर्कटीफलम्	Papaya
३७५	375
बेंजामिन फ्रैंकलिन	Benjamin Franklin
पर्णशाकम्	Cabbage
विल्हेल्म् कार्नार्ड् रोण्ट्जेन्	Wilhelm Röntgen
तत्त्वमीमांसा	Metaphysics
३८७	387
कोलम्बो	Colombo
आर्द्रकम्	Ginger
द्रव्यम् (भौतविज्ञानम्)	Matter
बाय्सी	Boise, Idaho
श्वासरोगः	Asthma
हो चि मिन्ह	Ho Chi Minh
मैथिली भाषा	Maithili language
प्लाक्षफलम्	Common fig
मलयाळम्	Malayalam
जीवनी	Biography
इगुवास्सुजलपातः	Iguazu Falls
लोज़बानम्	Lojban
हाम्मुरबी	Hammurabi
महारानी काथरिन	Catherine the Great
हान्निबल	Hannibal
पिष्टानि	Flour
गुग्लिमो मार्कोनी	Guglielmo Marconi
अटिला	Attila
पालिभाषा	Pali
अङ्ग सान् सू की	Aung San Suu Kyi
नखः	Nail (anatomy)
मधुबाला	Madhubala
कुष्ठरोगः	Leprosy
वदनम्	Face
टालाहासे	Tallahassee, Florida
सर् अलेक्साण्डर् प्लेमिङ्ग्	Alexander Fleming
राष्ट्रियबालदिनम् (भारतम्)	Children's Day
फ्लोरेन्स नैटिन्गेल	Florence Nightingale
गुल्बर्गा	Gulbarga
३३१	331
३६५	365
३७९	379
राबर्ट् कोख्	Robert Koch
अध्यापकः	Teacher
रामायणम्	Ramayana
उञ्चळ्ळीजलपातः	Unchalli Falls
हेब्बेजलपातः	Hebbe Falls
कलायः	Peanut
मेकेदाटु	Mekedaatu
जानु	Knee
पिएरे क्युरी	Pierre Curie
दूधसागरजलपातः	Dudhsagar Falls
वागेश्वरीरागः	Bageshri
होगेनकल् जलपातः	Hogenakkal Falls
टी. एस. एलियट	T. S. Eliot
पर्यावरणव्यवस्था	Ecosystem
शीतकम्	Refrigerator
मिष्टालुकम्	Sweet potato
ग्रिगोर् जान् मेण्डेल्	Gregor Mendel
रङ्गून	Yangon
इर्पुजलपातः	Irupu Falls
हेलेन केलर	Helen Keller
हेनरी ८	Henry VIII of England
आशा भोंसले	Asha Bhosle
शिवनसमुद्रजलपातः	Shivanasamudra Falls
सान्टा फ़े	Santa Fe, New Mexico
देवनागरी	Devanagari
कलिङ्गफलम्	Watermelon
पाकशास्त्रम्	Cooking
ज्वरः	Fever
अन्ताराष्ट्रिय-महिलादिनम्	International Women's Day
शेयेन्	Cheyenne, Wyoming
रिचार्ड फैनमन	Richard Feynman
आयतनम्	Volume
नारङ्ग	Orange (colour)
पोल पॉट	Pol Pot
पेट्रोल्	Gasoline
क्रिस्टियन् हुगेन्स्	Christiaan Huygens
डे माय्ने	Des Moines, Iowa
वातामम्	Almond
वेदः	Vedas
जार्डन्-नदी	Jordan River
आम्लीयवर्षणम्	Acid rain
कार्ल बेन्ज़	Karl Benz
परवेज़ मुशर्रफ़	Pervez Musharraf
पियेर्	Pierre, South Dakota
धान्यानि	Seed
एड्वर्ड् जेन्नर्	Edward Jenner
अण्डमाननिकोबारद्वीपसमूहः	Andaman and Nicobar Islands
वर्नर हाइजेनबर्ग	Werner Heisenberg
नेफेरतिति	Nefertiti
एवा पेरोन	Eva Perón
ललाटम्	Forehead
टोपेका	Topeka, Kansas
इटानगरम्	Itanagar
मार्टिन स्कोर्सेसे	Martin Scorsese
ग्रनैट् (शिला)	Granite
कर्ट गोडेल	Kurt Gödel
आमलकम्	Gooseberry
डेविड हिल्बर्ट	David Hilbert
छत्रम्	Umbrella
कुस्तुम्बरी	Coriander
रमजान्	Ramadan
भारतस्य राष्ट्रध्वजः	Flag of India
हेण्ड्रिक लारेन्ज़	Hendrik Lorentz
चित्तौडगढ	Chittorgarh
अन्तरतारकीयमाध्यमम्	Interstellar medium
मनमोहन सिंह	Manmohan Singh
रोजा पार्क्स	Rosa Parks
भीलवाडामण्डलम्	Bhilwara district
अन्वर् अल्-सादात्	Anwar Sadat
बाडमेरमण्डलम्	Barmer district
स्टार् वार्स्:रिवेंज् आफ़् दि सिथ्	Star Wars Episode III: Revenge of the Sith
गोबीमरुस्थलम्	Gobi Desert
संशोधनस्य प्रयोजनानि	Research
गूगल् अर्त्	Google Earth
बर्न्हार्ड रीमन	Bernhard Riemann
मृत्तिका	Clay
शिम्बी	Phaseolus vulgaris
मल्लक्रीडा	Wrestling
गन्धद्रव्याणि	Spice
सिन्धुसंस्कृतिः	Indus Valley Civilization
हरिद्रा	Turmeric
कूर्परः	Elbow
ओलम्पिया	Olympia, Washington
बोरोबुदुर्	Borobudur
वाहनम्	Vehicle
कृष्णः	Krishna
आग्रा	Agra
तैलम्	Oil
इवान् पेत्रोविच् पाव्लोव्	Ivan Pavlov
फ़्रान्ज़ फर्डिनान्ड	Archduke Franz Ferdinand of Austria
मरीचम्	Black pepper
माणिक्यम्	Ruby
काश्मीर	Kashmir
ओमाहा	Omaha, Nebraska
काकः	Corvus (genus)
रिच्मन्ड्	Richmond, Virginia
चण्डीगढ	Chandigarh
मुक्ता	Pearl
स्त्री	Female
दाक्षम्	Gymnastics
अङ्गकोरवाटम्	Angkor Wat
अन्तोन् वान् ल्यूवेन् वोक्	Antonie van Leeuwenhoek
बैठा बैल	Sitting Bull
भ्रूः	Eyebrow
माडिसन्	Madison, Wisconsin
अकशेरुकाः	Invertebrate
सेलेम्, ओरेगन्	Salem, Oregon
लेतुवायर्क्	Tautiška giesmė
आलिवर क्रामवेल	Oliver Cromwell
रुडोल्फ मोसबेउर	Rudolf Mössbauer
सलमान रश्दी	Salman Rushdie
हान्स कृस्टियन ओर्स्टेड	Hans Christian Ørsted
पियर सिमों लाप्लास	Pierre-Simon Laplace
हिन्दुदेवालयः	Temple
चार्ल्सटन्	Charleston, West Virginia
विद्याधर सूरजप्रसाद नैपाल	V. S. Naipaul
पोताश्रयः	Port
सुहार्तो	Suharto
ब्रह्मपुत्रनदः	Brahmaputra River
पूर्विरागः	Purvi
सोहनीरागः	Sohni
श्री (रागः-हिनदुस्थानिशास्त्रियसङ्गीतम्)	Shree (raga)
विलियम वर्ड्सवर्थ	William Wordsworth
भीम्पलासरागः	Bhimpalasi
विश्वनाथन् आनन्द	Viswanathan Anand
पनसफलम्	Jackfruit
सत्येन्द्रनाथ बोस्	Satyendra Nath Bose
वरदक्षिणा	Dowry
रक्तदुर्गम्	Red Fort
भारतीयप्रबन्धनसंस्था (IIM)	Indian Institutes of Management
दादरा नगरहवेली च	Dadra and Nagar Haveli
विलियम ए फोलर	William Alfred Fowler
कूर्मः	Tortoise
चित्रदुर्गम्	Chitradurga
हिण्डोलरागः	Hindol
अफीण	Opium
द प्रेस्टीज्	The Prestige (film)
भगवद्गीता	Bhagavad Gita
द टाइम्स ओफ इण्डिया	The Times of India
राबर्ट् हुक्	Robert Hooke
तिब्बतीलिपिः	Tibetan alphabet
पालीमण्डलम्	Pali district
भूपालिरागः	Bhopali
कपोलः	Cheek
ऐश्वर्या रै	Aishwarya Rai Bachchan
बभ्रुः	Brown
ब्राह्मणः	Brahmin
यजुर्वेदः	Yajurveda
श्रुतिः	Śruti
पञ्जाबराज्यस्य मण्डलानि	List of districts of Punjab, India
कामसूत्रम्	Kama Sutra
कीटः	Worm
हासनम्	Hassan, Karnataka
जे जे थामसन	J. J. Thomson
स्वामी विवेकानन्द	Swami Vivekananda
मातृदिवसः	Mother's Day
प्रतिभा पाटिल	Pratibha Patil
३३९	339
३४०	340
लखनौ	Lucknow
३५४	354
बुलढाणामण्डलम्	Buldhana district
३५६	356
३५८	358
३६१	361
३६३	363
३६४	364
३६८	368
३६९	369
३७०	370
३७१	371
फलकम्:Commonscat	Template:Commons category
३७६	376
३७७	377
३७८	378
३८३	383
३८४	384
३८८	388
३८९	389
३९०	390
३९१	391
३९२	392
३९३	393
३९४	394
३९५	395
३९६	396
३९७	397
३९८	398
३९९	399
काळिङ्गसर्पः	King cobra
पक्ष्म	Eyelid
सुधा चन्द्रन्	Sudha Chandran
महायानम्	Mahayana
अमृतसर	Amritsar
शवः	Cadaver
२७९	279
४४०	440
५१७	517
५७२	572
कोलोराडो स्प्रिंग्स्	Colorado Springs, Colorado
मजापहित साम्राज्य	Majapahit
नुसान्तर	Nusantara
पर्यटनम्	Tourism
कविः	Poet
जी-सुंग पार्क	Park Ji-sung
फलकम्:Taxobox	Template:Taxobox
रामभद्राचार्यः	Rambhadracharya
सुनीता विलियम्स्	Sunita Williams
श्रीधर स्वामी	Shreedhar Swami
समर्थ गुरु रामदास	Samarth Ramdas
स्वातन्त्र्यदिनोत्सवः (भारतम्)	Independence Day (India)
जेम्स फ्रान्क	James Franck
विल्हेम वेन	Wilhelm Wien
गुस्टाफ् हर्ज्	Gustav Ludwig Hertz
आटो स्टर्न	Otto Stern
पाल् एर्लख्	Paul Ehrlich
जोहन्नेस स्टार्क	Johannes Stark
मारिया गोपर्ट-मेयर	Maria Goeppert-Mayer
प्रणब मुखर्जि	Pranab Mukherjee
एस्. एम्. कृष्णः	S. M. Krishna
पञ्जाबीभाषा	Punjabi language
सतना	Satna
सरस्वती देवी	Saraswati
काव्यविभागाः	Literary criticism
हिक्का	Hiccup
तन्तुकरणयन्त्रम्	Spinning wheel
अरविन्द केजरीवाल	Arvind Kejriwal
ध्रुपद्	Dhrupad
शिवसेना	Shiv Sena
वेङ्कटरामन् रामकृष्णन्	Venkatraman Ramakrishnan
रजनीकान्तः	Rajinikanth
चन्द्रशेखर वेङ्कटरामन्	C. V. Raman
खयाल्	Khyal
फ्रेडरिक क्यास्पर् वुल्फ्	Caspar Friedrich Wolff
मौर्यसाम्राज्यम्	Maurya Empire
वुल्फगांग पौली	Wolfgang Pauli
जयपुरम्	Jaipur
कानपुरम्	Kanpur
इन्दौर	Indore
दमण	Daman and Diu
पुदुच्चेरी	Puducherry
अज्मल् कसब्	Ajmal Kasab
ठुमरि	Thumri
टप्पा	Tappa
सूरणम्	Dioscorea
अपवर्तनम् (भौतविज्ञानम्)	Refraction
सुकर्णो	Sukarno
मेघावती सुकर्णोपुत्री	Megawati Sukarnoputri
वुल्फगांग केट्टेर्ले	Wolfgang Ketterle
ओट्टो हेन्रिक् वार्बर्ग्	Otto Heinrich Warburg
अगस्ट् वीस्मान्	August Weismann
हान्स् लिप्पर्शे	Hans Lippershey
वाल्थेर बोथे	Walther Bothe
अहिंसा	Nonviolence
केरो हेन्रिज्	Heinrich Caro
थियोडोर् स्छ्वान्	Theodor Schwann
म्याथयास् जेकब् ष्लेडन्	Matthias Jakob Schleiden
जे हान्स डी जेन्सेन	J. Hans D. Jensen
पावेल शेरेन्कोव	Pavel Cherenkov
जेम्स ६ (स्काटलैंड)	James VI and I
काशी	Varanasi
घृतकुमारी	Aloe vera
तिन्त्रिणी	Tamarind
पटना	Patna
श्रीवपोर्ट	Shreveport, Louisiana
रूप्यकम्	Indian rupee
भेण्डा	Okra
जेम्स् चाडविक	James Chadwick
डोनाल्ड ए ग्लेसर	Donald A. Glaser
भोपाल	Bhopal
होमियोपति	Homeopathy
चणकः	Chickpea
चार्ल्स १	Charles I of England
खदिरवृक्षः	Acacia
चार्ल्स् -अगस्टीन् डि कूलुम्ब	Charles-Augustin de Coulomb
जान कीट्स	John Keats
जीन् ब्याप्टिस्ट् लामार्क्	Jean-Baptiste Lamarck
सेम्येल टेलर कोलरिज	Samuel Taylor Coleridge
विलियम वालेस	William Wallace
लीयों नील कूपर	Leon Cooper
मेरी १ (इंगलैंड)	Mary I of England
चिबुकम्	Chin
टिमोर	Timor
अग्निप्रस्तरः	Flint
छत्राकम्	Mushroom
जन गण मन	Jana Gana Mana
श्रीनिवासरामानुजन्	Srinivasa Ramanujan
जातीफलम्	Nutmeg
एडवर्ड ६	Edward VI of England
गुरु नानक देव	Guru Nanak
लुइस डे ब्रोग्ली	Louis de Broglie
जेम्स् डि व्याट्सन्	James Watson
अङ्गुष्ठः	Thumb
एलेनोर रोज़वेल्ट	Eleanor Roosevelt
बारोग् सुरङ्गमार्गः	Barog
पारासेल्सस्	Paracelsus
भाक्राजलबन्धः	Bhakra Dam
कुलु	Kullu
मनाली	Manali, Himachal Pradesh
भारोत्तोलनक्रीडा	Olympic weightlifting
मणिकर्ण	Manikaran
मराठासाम्राज्यम्	Maratha Empire
जहाङ्गीरः	Jahangir
शाहजहानः	Shah Jahan
शिमला	Shimla
कार्ल् लाण्ड्स्टैनर्	Karl Landsteiner
शब्दमालिन्यम्	Noise pollution
सुभाषकाकः	Subhash Kak
विलियं हार्वे	William Harvey
मधु सूदन	Madhu Sudan
अविनाश काक	Avinash Kak
जिततैलम्	Olive oil
पर्सी बिश शेली	Percy Bysshe Shelley
सूर्यकान्तितैलम्	Sunflower oil
सारनमण्डलम्	Saran district
दन्तेवाडामण्डलम्	Dantewada district
चायसस्यम्	Camellia sinensis
सर् रोनाल्ड् रास्	Ronald Ross
बकमिन्स्टर फुलर	Buckminster Fuller
आस्टन् फ्रान्सिस् विलियम्	Francis William Aston
जेर्मेन ग्रीर	Germaine Greer
लक मन्टेगेनियरः	Luc Montagnier
रविशङ्कर	Ravi Shankar
दन्तपाली	Gingiva
वितली गिन्ज़बर्ग	Vitaly Ginzburg
सिमोन वान डर मीर	Simon van der Meer
अङ्गप्रत्यारोपणम्	Organ transplantation
युरोलोजी	Urology
क्रैस्ताः	Christian
तक्रम्	Buttermilk
मिर्जा गालिब	Ghalib
राजेश खन्ना	Rajesh Khanna
शेल्डन ग्लास्हौ	Sheldon Lee Glashow
हरगोविन्द खुराना	Har Gobind Khorana
मध्यदेहलीमण्डलम्	Central Delhi
पूर्वदेहलीमण्डलम्	East Delhi
उत्तरगोवामण्डलम्	North Goa
दक्षिणगोवामण्डलम्	South Goa
लक्ष्यसाधनक्रीडा	Archery
ए. आर्. रहमान्	A. R. Rahman
एड्वर्ड् क्याल्विन् केण्डल्	Edward Calvin Kendall
हिङ्गु	Asafoetida
माधवः	Madhava of Sangamagrama
रमोन् मेग्सेसे	Ramon Magsaysay
चाओ फ्रया	Chao Phraya River
एन	Anne, Queen of Great Britain
ग्यास्त्रोएन्टेरोलोजी	Gastroenterology
भीमसेन जोशी	Bhimsen Joshi
कुमार गन्धर्व	Kumar Gandharva
कृष्णदेवरायः	Krishnadevaraya
हिडिम्बा	Hidimba
जडत्वम् (भौतविज्ञानम्)	Inertia
चार्ल्स २	Charles II of England
गोवाराज्यस्य मण्डलानि	List of districts of Goa
केल्विन् विलियं थाम्सन् लार्ड्	William Thomson, 1st Baron Kelvin
चार्ल्स एडुआर्ड गुइल्लौमे	Charles Édouard Guillaume
फ्रान्सिस् एच् सि क्रिक्	Francis Crick
हिमाचलप्रदेशस्य मण्डलानि	List of districts of Himachal Pradesh
शिवपुराणम्	Shiva Purana
वस्त्रनिर्मलीकरणयन्त्रम्	Washing machine
स्लम्डाग् मिलियनेर्	Slumdog Millionaire
जेम्स ७ (स्काटलैंड)	James II of England
स्टीव् इर्विन्	Steve Irwin
मङ्गळूरु	Mangalore
अल्बर्ट ए मिकेल्सन	Albert A. Michelson
जार्ज ३	George III of the United Kingdom
सन्तरविदासनगरमण्डलम्	Sant Ravidas Nagar district
एम् जि रामचन्द्रन्	M. G. Ramachandran
आर्थर एच काम्पटन	Arthur Compton
गतिविज्ञानम्	Dynamics (mechanics)
ट्रिनिडाड	Trinidad
इन्द्रः	Indra
पुनर्जन्म	Reincarnation
माइकल ओवेन	Michael Owen
पॉल पोग्बा	Paul Pogba
भारतस्य विभजनम्	Partition of India
मिथुनराशिः	Gemini (astrology)
अन्नगन्धिः	Dysentery
जाह्न (इंगलैंड)	John, King of England
ऊरुः	Thigh
आमआदमीपक्षः	Aam Aadmi Party
भारतस्य प्रथमस्वातन्त्र्यसङ्ग्रामः	Indian Rebellion of 1857
विलियम ३ (इंगलैंड)	William III of England
जार्ज ४	George IV of the United Kingdom
वर्णाश्रमव्यवस्था	Caste system in India
जार्ज १	George I of Great Britain
मेरी २	Mary II of England
विलियम ४	William IV of the United Kingdom
रोबर्ट ए मिल्लिकन्	Robert Andrews Millikan
वायुमालिन्यम्	Air pollution
ली क्वान यु	Lee Kuan Yew
वर्तुलकम्	Vicia faba
मेरी १ (स्काटलैंड)	Mary, Queen of Scots
लक्ष्मीः	Lakshmi
मन्त्रः	Mantra
भारतस्य राज्यानि	States and union territories of India
हेनरी ५	Henry V of England
विलियम लारेन्स ब्राग	William Lawrence Bragg
क्यावेण्डिष् हेन्रि	Henry Cavendish
औपसर्गिकव्याधिः	Infectious disease
जार्ज २	George II of Great Britain
काली	Kali
सानिया मिर्ज़ा	Sania Mirza
भारतीयपर्वाणि	Festival
आयुर्वेदः	Ayurveda
अमर्त्य सेन	Amartya Sen
जीरकम्	Cumin
यमुनानदी	Yamuna
रिचर्ड ३	Richard III of England
पादः	Leg
भारतस्य इतिहासः	History of India
मेथिका	Fenugreek
लेव लाण्डौ	Lev Landau
पृष्ठभागः	Human back
विलियम हेन्री ब्राग	William Henry Bragg
जार्ज पेजेट थामसन	George Paget Thomson
आकस्मिक चिकित्सा	First aid
कन्याराशिः	Virgo (astrology)
जां बाप्टिस्टे पेरिन	Jean Baptiste Perrin
पोलोक्रीडा	Polo
धर्मः	Dharma
तुलाराशिः	Libra (astrology)
वृश्चिकराशिः	Scorpio (astrology)
भौतिकी तुला	Weighing scale
जेम्स ५	James V of Scotland
जेम्स ४	James IV of Scotland
प्रिन्‍सटन	Princeton, New Jersey
नेवेहिः	Nevėžis (river)
जकारियस् जान्सन्	Zacharias Janssen
पाणिपत्	Panipat
ग्रहणम्	Eclipse
जाकिर हुसैन (तबलावादकः)	Zakir Hussain
जाकिर हुसैन	Zakir Hussain (politician)
भिन्नेक तुंग्गल इक (भिन्नतायाम् एकता)	Bhinneka Tunggal Ika
राजशिम्बी	Legume
नूतन	Nutan
अजय देवगन	Ajay Devgan
कन्दशाकम्	Kohlrabi
बहुनेत्रफलम्	Ananas
सिद्धपेयम्	Soft drink
माण्डु (माण्डवगढ)	Mandu, Madhya Pradesh
शिरोमणि अकालीदलम्	Shiromani Akali Dal
सुब्रह्मण्यन् चन्द्रशेखरः	Subrahmanyan Chandrasekhar
रजनीशः	Rajneesh
मध्यप्रदेशस्य मण्डलानि	List of districts of Madhya Pradesh
लज्जालुसस्यम्	Mimosa pudica
कबड्डिक्रीडा	Kabaddi
गुरु दत्त	Guru Dutt
नागरङ्गफलम्	Citron
डेविड दे हेया	David de Gea
जार्ज् कार्लिन्	George Carlin
चोळवंशः	Chola dynasty
वायुपुराणम्	Vayu Purana
चर्मकारः	Cordwainer
एडवार्ड् वी एप्पलटन्	Edward Victor Appleton
काफीबीजम्	Coffee bean
भ्रष्टतण्डुलः	Puffed rice
कोला	Kola, Russia
नार्मन् बोर्लाग्	Norman Borlaug
इगोर वाइ टाम	Igor Tamm
राबर्ट् ब्रौन्	Robert Brown (botanist)
जोसेफ् लिस्टर्	Joseph Lister, 1st Baron Lister
मासातोशी कोशिबा	Masatoshi Koshiba
हिदेकी युकावा	Hideki Yukawa
लुइ नील	Louis Néel
डेनिस गाबोर	Dennis Gabor
यूजीन विग्नर	Eugene Wigner
हान्स बेथे	Hans Bethe
एरण्डसस्यम्	Castor oil plant
आजाद हिन्द फौज्	Indian National Army
काकमाची	Atropa belladonna
तक्षशिलाविश्वविद्यालयः	Taxila
मन्ना दे	Manna Dey
जे. बि. एस्. हाल्डेन्	J. B. S. Haldane
वास्तुकम्	Amaranth
लता मङ्गेशकरः	Lata Mangeshkar
सर्वपल्ली राधाकृष्णन्	Sarvepalli Radhakrishnan
काफीसस्यम्	Coffea
लकुचम्	Moraceae
मोहम्मद रफी	Mohammed Rafi
पूगवृक्षः	Areca catechu
साम्युयेल् हानिमन्	Samuel Hahnemann
वामनी	Acorus calamus
भेडाघाट्	Bhedaghat
ग्वालियर	Gwalior
जूही चावला	Juhi Chawla
इण्डिय़न् मुजहिद्दिन् सङ्घटनम्	Indian Mujahideen
दीपिका पडुकोणे	Deepika Padukone
नागवल्लीपत्रम्	Betel
जपापुष्पम्	Hibiscus rosa-sinensis
सिंहराशिः	Leo (astrology)
ह्यूगो द व्रीस्	Hugo de Vries
रामः	Rama
हेनरी ६	Henry VI of England
एडवर्ड ४	Edward IV of England
थियोफ्रास्टस्	Theophrastus
पुतिहासस्यम्	Mentha arvensis
पारसीकयवानी	Hyoscyamus niger
अरग्वदवृक्षः	Cassia fistula
प्रियङ्गुः	Foxtail millet
कर्कटराशिः	Cancer (astrology)
आम्रम्	Mangifera
वितुन्नः	Celosia argentea
एडवार्ड गिबन	Edward Gibbon
हेनरी ४	Henry IV of England
कुम्भराशिः	Aquarius (astrology)
महानिम्बिसस्यम्	Melia azedarach
स्पन्दमापिनी	Stethoscope
जेन	Lady Jane Grey
प्रयागः	Allahabad
ओन्कोलोजी	Oncology
सी टी आर विल्सन	Charles Thomson Rees Wilson
सोनिया गान्धी	Sonia Gandhi
विलियम शाक्ली	William Shockley
निमेन्या विडिच	Nemanja Vidić
द डार्क् नैट्	The Dark Knight (film)
श्यामाकः	Echinochloa
वृषभराशिः	Taurus (astrology)
मकरराशिः	Capricorn (astrology)
आल्बर्ट् स्याबिन्	Albert Sabin
साङ्ख्यदर्शनम्	Samkhya
हरितगृहम्	Greenhouse
मरीचिका (शाकम्)	Chili pepper
चित्रदुर्गमण्डलम्	Chitradurga district
मधुरकूष्माण्डम्	Pumpkin
पालङ्कः	Beetroot
उन्नतकूर्दनम्	High jump
स्टार् वार्स्:दि फ़ांटम् मेनस्	Star Wars Episode I: The Phantom Menace
परावर्तनम् (भौतविज्ञानम्)	Reflection (physics)
इसिडोर ऐजक रबि	Isidor Isaac Rabi
बैटमेन बिगिंस्	Batman Begins
चम्पकम्	Magnolia champaca
मध्यमा	Middle finger
विजयनगरसाम्राज्यम्	Vijayanagara Empire
तिरुवनन्तपुरम्	Thiruvananthapuram
गुल्फः	Ankle
कार्ल् डी एन्डरसन्	Carl David Anderson
धूमनीहारः	Smog
दार्जिलिङ्ग	Darjeeling
श्रीनगरम्	Srinagar
